consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,3.0154,space,24.91671,5,2.027545,5,0.93177,3,6.153535,0,0,0,28,1,AETIZKQNUSBLB,29,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,2,4.587185,0,1,1,18,1,AETIZKQNUSBLB,19,wolfe_image-010-a_w_outline.jpg,wolfe_image-010-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,2,5.78199,0,2,2,15,1,AETIZKQNUSBLB,16,wolfe_image-001-a_w_outline.jpg,wolfe_image-001-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,4,2.767655,0,3,3,27,1,AETIZKQNUSBLB,28,wolfe_image-004-a_w_outline.jpg,wolfe_image-004-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,3,10.85401,0,4,4,21,1,AETIZKQNUSBLB,22,wolfe_image-020-a_w_outline.jpg,wolfe_image-020-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,5,3.278115,0,5,5,8,1,AETIZKQNUSBLB,9,wolfe_image-025-a_w_outline.jpg,wolfe_image-025-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,4,3.8614,0,6,6,2,1,AETIZKQNUSBLB,3,wolfe_image-002-a_w_outline.jpg,wolfe_image-002-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,5,2.750415,0,7,7,16,1,AETIZKQNUSBLB,17,wolfe_image-018-a_w_outline.jpg,wolfe_image-018-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,2,4.75717,0,8,8,13,1,AETIZKQNUSBLB,14,wolfe_image-030-a_w_outline.jpg,wolfe_image-030-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
,,,,,,,,5,2.951695,0,9,9,24,1,AETIZKQNUSBLB,25,wolfe_image-012-a_w_outline.jpg,wolfe_image-012-b_w_outline.jpg,30,m,AETIZKQNUSBLB,2020-11-14_17h48.10.132,MetaAwareness,2020.1.2,Win32,60,3SSN80MU8DRACU2OBR3A7JVDDSLXKX,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,STKR7,STKR7,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,3RKNTXVS3N1GOZ3M5RTI4DQ6ZCK4AM,257567,257567,,,,
