consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt
space,6.10427,space,25.31541,5,6.419775,5,2.263675,4,4.172745,0,0,0,5,1,ANR0LIX0VLUYJ,7,wolfe_image-033-a_w_outline.jpg,wolfe_image-033-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,3.75554,0,1,1,20,1,ANR0LIX0VLUYJ,22,wolfe_image-137-a_w_outline.jpg,wolfe_image-137-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,2,4.968235,0,2,2,12,1,ANR0LIX0VLUYJ,14,wolfe_image-133-a_w_outline.jpg,wolfe_image-133-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,1,7.73456,0,3,3,2,1,ANR0LIX0VLUYJ,4,wolfe_image-017-a_w_outline.jpg,wolfe_image-017-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,2,33.723985,0,4,4,23,1,ANR0LIX0VLUYJ,25,wolfe_image-086-a_w_outline.jpg,wolfe_image-086-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,1,1.132095,0,5,5,16,1,ANR0LIX0VLUYJ,18,wolfe_image-007-a_w_outline.jpg,wolfe_image-007-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,1,0.00131,0,6,6,17,1,ANR0LIX0VLUYJ,19,wolfe_image-076-a_w_outline.jpg,wolfe_image-076-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,3,7.90737,0,7,7,1,1,ANR0LIX0VLUYJ,3,wolfe_image-095-a_w_outline.jpg,wolfe_image-095-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,1,23.043415,0,8,8,11,1,ANR0LIX0VLUYJ,13,wolfe_image-129-a_w_outline.jpg,wolfe_image-129-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,20.57101,0,9,9,3,1,ANR0LIX0VLUYJ,5,wolfe_image-122-a_w_outline.jpg,wolfe_image-122-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,6.074415,0,10,10,18,1,ANR0LIX0VLUYJ,20,wolfe_image-031-a_w_outline.jpg,wolfe_image-031-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,6.5793,0,11,11,27,1,ANR0LIX0VLUYJ,29,wolfe_image-080-a_w_outline.jpg,wolfe_image-080-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,4.018445,0,12,12,6,1,ANR0LIX0VLUYJ,8,wolfe_image-003-a_w_outline.jpg,wolfe_image-003-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,4,4.816485,0,13,13,4,1,ANR0LIX0VLUYJ,6,wolfe_image-026-a_w_outline.jpg,wolfe_image-026-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,2,3.925695,0,14,14,8,1,ANR0LIX0VLUYJ,10,wolfe_image-124-a_w_outline.jpg,wolfe_image-124-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,5,18.376305,0,15,15,21,1,ANR0LIX0VLUYJ,23,wolfe_image-107-a_w_outline.jpg,wolfe_image-107-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,3,7.496535,0,16,16,28,1,ANR0LIX0VLUYJ,30,wolfe_image-049-a_w_outline.jpg,wolfe_image-049-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
,,,,,,,,3,5.52008,0,17,17,7,1,ANR0LIX0VLUYJ,9,wolfe_image-018-a_w_outline.jpg,wolfe_image-018-b_w_outline.jpg,26,male,ANR0LIX0VLUYJ,2020-10-13_18h20.12.050,MetaAwareness,2020.1.2,Win32,60,3J9L0X0VDGPB6YE7XPGZFR3QRQU9WZ,39RP059MEIW1BZXKH9TALIRCY3IMBH,M0R94,M0R94,39RP059MEIW1BZXKH9TALIRCY3IMBH,39RP059MEIW1BZXKH9TALIRCY3IMBH,250984,250984,,
