consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,38.919805,space,21.5254,3,21.92356,0,0,0,499,1,crowded band festival with one empty lime-green folding chair,crowded band festival with one emply magenta folding chair,wolfe1,image-115,3,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,2,27.78763,0,1,1,143,1,this is an outdoor market with people walking about on a nice day and there are umbreallas coverins stalls and a coniferous tree in the background,"a nice day with an outdoor market and covered stalls with blue sky and part of a couple umbrellas, one green and one orange in front of the sky",wolfe1,image-025,3,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,4,13.3336,0,2,2,126,1,three women are firing arrows from four firing positions,three women are firing arrows from three firing positions,wolfe1,image-021,5,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,4,10.296175,0,3,3,465,1,"a group of hikers, with one man wearing a red backpack.",a group of hikers with one man wearing a blue backpack.,wolfe1,image-109,1,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,4,17.97098,0,4,4,508,1,a woman looking at products under a blue tent in a large street farmers market with many other people.,a woman looking at products under a red tent in a large street farmers market with many other people.,wolfe1,image-117,1,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,5,21.191795,0,5,5,379,1,a man and a woman walking on a campus. the man is carrying a skateboard and a bottle of water. the woman is carrying a backpack with a blue logo,a man and a woman walking on a campus. the man is carrying a skateboard and a bottle of water. the woman is carrying a backpack with a green logo.,wolfe1,image-094,4,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,4,17.45405,0,6,6,390,1,a person hiking along a dirt trail through a green hillside with a red flowering plant to the right,a person hiking along a dirt trail through a green hillside with a yellow flowering plant to the left,wolfe1,image-095,6,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,4,16.504305,0,7,7,97,1,four men are playing golf outside on a course and thre is a dark object on the ground behind one man.,four men are playing golf outside on the a course and there are no dark objects on the ground.,wolfe1,image-017,3,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,2,10.98137,0,8,8,12,1,some people sitting in a room with a curtain on a window,some people in a room with a white wall behind them,wolfe1,image-003,2,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
,,,,2,6.961945,0,9,9,193,1,the rock can help the path,there is a rock missing,wolfe1,image-034,5,53,A2Y0WNHMT4PZ4C,2021-01-07_17h50.13.052,MetaAwareness,2020.1.2,Win32,60,3EGKVCRQFXVYJWO4AACJRUJWTTTBYZ,A2Y0WNHMT4PZ4C,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,PY2M2,PY2M2,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,3M23Y66PO3AY3ITU5F8OMB4ROHQS69,267902,267902,,,,,,,,,,
