consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,3.3446,space,5.2481,5,8.12193,0,0,0,228,1,man in blue shirt looking at woman,man in green shirt looking at womnan,wolfe1,image-104,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,8.70662,0,1,1,1,1,this is a yard with a lot of clothing laying around and hanging on the trees. there is a blue piece of clothing on the right tree.,this is a yard with a lot of clothing laying around and hanging on the trees. there is nothing hanging on the far right side of the tree.,wolfe1,image-002,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,4.799825,0,2,2,201,1,students walking with backpacks,students walking with backpacks and a blue decoration on the backpack,wolfe1,image-094,7,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,5.93388,0,3,3,50,1,a man playing golf close to a small flag with three other players.,a man playing golf with three other players.,wolfe1,image-017,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,8.35735,0,4,4,211,1,a man wearing aqua pants waits at a food stand besides many other people outside.,a man wearing green pants waits at a food stand besides many other people outside.,wolfe1,image-097,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,5.95476,0,5,5,281,1,a storefront with a blue placard and cars out front,a storefront with a red placard and vars out front,wolfe1,image-123,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,2,5.53493,0,6,6,35,1,a small house with a manhole cover in front of it,a small house with gray rocks in front of it,wolfe1,image-012,7,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,1,4.108985,0,7,7,78,1,a small window panel on the roof af an old building,the roof of a historic old building,wolfe1,image-029,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,3.86821,0,8,8,291,1,a blue bag leaning against a sign post on a street,a yellow bag leaning against a post on a street,wolfe1,image-125,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,2,4.301965,0,9,9,57,1,guy in red wall climbing,people wall climbing,wolfe1,image-019,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,6.71819,0,10,10,230,1,a office meetins with a coworker on the left wearing a blue shirt,a office meeting with a coworker on the right wearing a green shirt,wolfe1,image-104,3,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,2,4.724075,0,11,11,215,1,people walking to a  catheral with one person wearing green shorts.,people walking to a  catheral with one person wearing brown shorts.,wolfe1,image-098,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,6.432775,0,12,12,175,1,students are siting in the classroom at their back one red drawing placed,students are siting in the classroom at their back one yelow drawing placed,wolfe1,image-083,4,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,11.33059,0,13,13,74,1,each bench in the park has a plaquard.,"each bench in the park has a plaquard, except one.",wolfe1,image-027,1,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,4.551705,0,14,14,167,1,2 women talking with papers with red margins on table,2 women with papers with blue margins on table,wolfe1,image-081,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,2,3.3924,0,15,15,261,1,there is a blue fence in the background,there is a yellow fence in the background,wolfe1,image-114,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,9.28669,0,16,16,259,1,"a city street lined with stores, one with pink dresses hanging over it","a city street lined with stores, one with black and yellow dresses hanging over it",wolfe1,image-113,5,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,14.282625,0,17,17,85,1,a woman with badges across her chest walks alongside her fellow ranger across the street,a woman with a badge on the left side of her chest walks alongside her fellow rangers across the street,wolfe1,image-031,6,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,3.809295,0,18,18,14,1,a living room with a white microwave in the kitchen area,a living room with a white wall in the kitchen area,wolfe1,image-006,3,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,4,11.81958,0,19,19,220,1,"a campsite with a trailer, tent, red chairs, and 2 red beach towels and 1 blue beach towel hanging on a clothes line","a campsite with a trailer, tent, red chairs, and 3 red beach towels hanging on a clothes line",wolfe1,image-100,2,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,2,6.733445,0,20,20,280,1,a person with a white shirt and white backpack bends over at a concert,a person with a white shirt and beige backpack is in a crowd at a concert,wolfe1,image-122,3,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,3,5.463085,0,21,21,209,1,a group of practicing singers practicing with a blue bin next to the pianist.,a group of singers practicing with a green bin next to the pianist.,wolfe1,image-096,4,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
,,,,1,3.436165,0,22,22,106,1,a parking lot with a yellow sign.,a parking lot with no signs.,wolfe1,image-038,4,22,AOJPRTHGMEPFX,2021-01-09_12h32.01.470,MetaAwareness,2020.1.2,Win32,60,3H4IKZHALCL6869N6Y8H19LJ6ZKNNT,AOJPRTHGMEPFX,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,BJ2C1,BJ2C1,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,3C2NJ6JBKBKD54IOAHFZX4D9LJVN22,268121,268121,,,,,,,,,,
