start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
13:23:43:921,13:26:59:209,13:27:14:161,13:27:14:165,space,74.969,13:28:29:160,13:28:29:166,space,171.044,13:31:20:221,13:31:21:253,,space,101.037,13:33:2:314,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.06640625,-0.102864583,0,0,0,13:33:3:345,,space,42.797,13:33:46:160,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.03125,-0.08984375,0,0,0,13:33:47:160,,space,20.252,13:34:7:440,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.03125,-0.08984375,0,0,0,13:34:8:474,return,64.524,13:35:13:4,13:35:14:34,,return,95.364,13:36:49:409, pokey, flower mug,0.154947917,-0.307291667,0,0,0,0,0,0,5,1,A1XEESFWD6X2R2,147,wolfe_074_L_book-a_w_outline.jpg,wolfe_074_L_book-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:36:50:438,,return,32.262,13:37:22:721,bowl,friuts bowl,0.311197917,-0.2109375,0,0,0,0,1,1,3,1,A1XEESFWD6X2R2,81,wolfe_041_L_fruit-a_w_outline.jpg,wolfe_041_L_fruit-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:37:23:752,,return,58.288,13:38:22:63,floor tails,kichen tails,0.888020833,0.076822917,0,0,0,0,2,2,9,1,A1XEESFWD6X2R2,201,wolfe_101_L_cup-a_w_outline.jpg,wolfe_101_L_cup-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:38:23:95,,return,139.961,13:40:43:64,book store,book  table,0.881510417,-0.302083333,0,0,0,0,3,3,4,1,A1XEESFWD6X2R2,99,wolfe_050_L_book-a_w_outline.jpg,wolfe_050_L_book-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:40:44:95,,return,50.525,13:41:34:627,hole,floor hole,0.135416667,-0.264322917,0,0,0,0,4,4,2,1,A1XEESFWD6X2R2,39,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:41:35:631,,return,59.991,13:42:35:628,floor,wall floor,0.2109375,-0.3046875,0,0,0,0,5,5,10,1,A1XEESFWD6X2R2,205,wolfe_103_L_hook-a_w_outline.jpg,wolfe_103_L_hook-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:42:36:628,,return,90.355,13:44:7:3,mel floor,floor light,0.12890625,-0.287760417,0,0,0,0,6,6,6,1,A1XEESFWD6X2R2,149,wolfe_075_L_light-a_w_outline.jpg,wolfe_075_L_light-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:44:8:33,,return,20.905,13:44:28:971,beach,beach place,0.16796875,-0.278645833,0,0,0,0,7,7,0,1,A1XEESFWD6X2R2,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:44:30:2,,return,100.63,13:46:10:658,some improvement,dicrection flower,0.447916667,-0.266927083,0,0,0,0,8,8,1,1,A1XEESFWD6X2R2,31,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:46:11:687,,return,49.76,13:47:1:471,cantle,cantle,0.295572917,-0.420572917,0,0,0,0,9,9,8,1,A1XEESFWD6X2R2,189,wolfe_095_L_candle-a_w_outline.jpg,wolfe_095_L_candle-b_w_outline.jpg,37,A1XEESFWD6X2R2,2020-12-21_13h26.59.077,MetaAwareness,2020.1.2,Win32,60,3GKAWYFRAQWXPFUNXJ769TEKSSBPD1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,HVAW4,HVAW4,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,3WAKVUDHUXJXMVZ3DU8G7QMB2YD7U1,265434,265434,,,,,,,,,,,,,,,,,,,,,,,,
