start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
2:30:48:473,2:31:3:243,2:31:18:208,2:31:18:225,space,4.933,2:31:23:169,2:31:23:185,space,3.73,2:31:26:928,2:31:27:956,,space,14.163,2:31:42:168,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.558984397,-0.302083345,0,0,0,2:31:43:217,,space,4.203,2:31:47:467,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.558984397,-0.302083345,0,0,0,2:31:48:508,,space,2.295,2:31:50:824,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.558984397,-0.302083345,0,0,0,2:31:51:875,return,3.653,2:31:55:557,2:31:56:622,,return,53.744,2:32:50:395,a plain wall o home,a wall contain some light on it,0.232942725,-0.287500012,0,0,0,0,0,0,9,1,A1Q33ANH0B9B1M,168,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:32:51:407,,return,50.654,2:33:42:89,in bedroom contain a table that have plates ,in bedroom contain a table tht have plin on it,0.228776058,-0.297916679,0,0,0,0,1,1,8,1,A1Q33ANH0B9B1M,164,wolfe_082_R_bowl-a_w_outline.jpg,wolfe_082_R_bowl-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:33:43:95,,return,54.662,2:34:37:782,in restroom wall that ave a single candle,in restroom wall that have  two candle,0.536067857,-0.283333409,0,0,0,0,2,2,3,1,A1Q33ANH0B9B1M,64,wolfe_032_R_bottle-a_w_outline.jpg,wolfe_032_R_bottle-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:34:38:825,,return,45.222,2:35:24:65,in hall wall tabl tht ave empty,in hall that have tv remote,0.265234392,-0.334375012,0,0,0,0,3,3,11,1,A1Q33ANH0B9B1M,45,wolfe_023_L_remote-a_w_outline.jpg,wolfe_023_L_remote-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:35:25:67,,return,14.747,2:35:39:841,mirror on home,room wall on it,0.183984391,-0.271875012,0,0,0,0,4,4,10,1,A1Q33ANH0B9B1M,212,wolfe_106_R_toweldispenser-a_w_outline.jpg,wolfe_106_R_toweldispenser-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:35:40:871,,return,19.035,2:35:59:919,nigt lamp on it,smll pot on table,0.12460939,-0.284375012,0,0,0,0,5,5,0,1,A1Q33ANH0B9B1M,12,wolfe_006_R_vase-a_w_outline.jpg,wolfe_006_R_vase-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:36:0:962,,return,34.946,2:36:35:942,pro wall on it,wall ceiling lamp on it,0.441276062,-0.283333409,0,0,0,0,6,6,6,1,A1Q33ANH0B9B1M,150,wolfe_075_R_light-a_w_outline.jpg,wolfe_075_R_light-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:36:36:962,,return,34.837,2:37:11:825,nigt lamp on it,some design on night lamp,0.440234395,-0.306250012,0,0,0,0,7,7,2,1,A1Q33ANH0B9B1M,20,wolfe_010_R_candle-a_w_outline.jpg,wolfe_010_R_candle-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:37:12:837,,return,31.725,2:37:44:577,table without hande,table hande,0.223567725,-0.293750075,0,0,0,0,8,8,4,1,A1Q33ANH0B9B1M,94,wolfe_047_R_handle-a_w_outline.jpg,wolfe_047_R_handle-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:37:45:615,,return,33.8,2:38:19:444, sink with plain handlesink wih ao,sink with som hndle,0.186067724,-0.278125075,0,0,0,0,9,9,7,1,A1Q33ANH0B9B1M,156,wolfe_078_R_faucet-a_w_outline.jpg,wolfe_078_R_faucet-b_w_outline.jpg,35,A1Q33ANH0B9B1M,2021-01-23_02h31.02.795,MetaAwareness,2020.1.2,Win32,60,36818Z1KV4GSKJMOFBJX6P3D3RSA3B,3N8OEVH1FST9UW75YUD9J6GHDATOOA,1E8N0,1E8N0,3N8OEVH1FST9UW75YUD9J6GHDATOOA,3N8OEVH1FST9UW75YUD9J6GHDATOOA,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
