start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:40:32:685,21:40:46:29,21:41:0:527,21:41:0:532,space,2.843,21:41:3:630,21:41:3:637,space,13.462,21:41:17:236,21:41:18:244,,space,7.135,21:41:25:688,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.330729167,-0.184895833,0,0,0,21:41:26:771,,space,6.427,21:41:33:430,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.330729167,-0.184895833,0,0,0,21:41:34:455,,space,3.712,21:41:38:389,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.330729167,-0.184895833,0,0,0,21:41:39:477,return,31.045,21:42:10:536,21:42:11:655,,return,25.359,21:42:37:259,book missing,none,0.328125,-0.330729167,0,0,0,0,0,0,4,1,A2YWCXYQYKC1MT,148,wolfe_074_R_book-a_w_outline.jpg,wolfe_074_R_book-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:42:38:655,,return,61.194,21:43:40:24,none,none,0.220052083,-0.283854167,0,0,0,0,1,1,9,1,A2YWCXYQYKC1MT,170,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:41:56,,return,19.335,21:44:0:652,missing,missing,0.174479167,-0.322916667,0,0,0,0,2,2,11,1,A2YWCXYQYKC1MT,45,wolfe_023_L_remote-a_w_outline.jpg,wolfe_023_L_remote-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:1:681,,return,19.777,21:44:21:644,books missing,none,0.141927083,-0.263020833,0,0,0,0,3,3,3,1,A2YWCXYQYKC1MT,130,wolfe_065_R_cd-a_w_outline.jpg,wolfe_065_R_cd-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:22:649,,return,9.766,21:44:32:581,none,none,0.225260417,-0.305989583,0,0,0,0,4,4,1,1,A2YWCXYQYKC1MT,20,wolfe_010_R_candle-a_w_outline.jpg,wolfe_010_R_candle-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:33:619,,return,21.695,21:44:55:518,rack sytle,none,0.30859375,-0.30078125,0,0,0,0,5,5,7,1,A2YWCXYQYKC1MT,164,wolfe_082_R_bowl-a_w_outline.jpg,wolfe_082_R_bowl-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:56:522,,return,20.164,21:45:16:785,light missingnone,none,0.294270833,-0.294270833,0,0,0,0,6,6,8,1,A2YWCXYQYKC1MT,168,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45:17:814,,return,24.084,21:45:42:48,ligt,none,0.220052083,-0.31640625,0,0,0,0,7,7,5,1,A2YWCXYQYKC1MT,150,wolfe_075_R_light-a_w_outline.jpg,wolfe_075_R_light-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45:43:56,,return,14.689,21:45:57:877,none,none,0.270833333,-0.264322917,0,0,0,0,8,8,10,1,A2YWCXYQYKC1MT,236,wolfe_118_R_shoes-a_w_outline.jpg,wolfe_118_R_shoes-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45:58:933,,return,16.79,21:46:15:882,stnd,noe,0.38671875,-0.313802083,0,0,0,0,9,9,6,1,A2YWCXYQYKC1MT,156,wolfe_078_R_faucet-a_w_outline.jpg,wolfe_078_R_faucet-b_w_outline.jpg,29,A2YWCXYQYKC1MT,2021-01-22_21h40.44.644,MetaAwareness,2020.1.2,Win32,60,3JHB4BPSFLC6M1ILLGHTN2L471IQ99,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,EU7E0,EU7E0,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,3E7TUJ2EGDPFJCCA6WGBBM9TEXBD9Z,270890,270890,,,,,,,,,,,,,,,,,,,,,,,,
