start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
15:25:32:740,15:25:41:608,15:25:56:553,15:25:56:555,space,27.92623,15:26:24:540,15:26:24:545,space,21.638385,15:26:46:194,15:26:47:201,,space,28.80904,15:27:16:36,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.235185185,-0.202777778,0,0,0,15:27:17:37,,space,10.27459,15:27:27:325,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.235185185,-0.202777778,0,0,0,15:27:28:326,,space,6.010955,15:27:34:353,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.235185185,-0.202777778,0,0,0,15:27:35:355,return,6.98343,15:27:42:347,15:27:43:362,,return,116.05475,15:29:39:431,a bright modern dining room that has 3 candles on the wall,a bright modern dining room that has 2 candles on the wall,0.061111111,-0.434259259,0,0,0,0,0,0,10,1,A2KVKX41C65RXA,197,wolfe_099_L_sconce-a_w_outline.jpg,wolfe_099_L_sconce-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:29:40:438,,return,125.901685,15:31:46:353,"a cozy, warm looking sitting space with a fireplace","a cozy, warm looking sitting space with flowers in front of the fireplace",0.137037037,-0.32962963,0,0,0,0,1,1,8,1,A2KVKX41C65RXA,123,wolfe_062_L_flowers-a_w_outline.jpg,wolfe_062_L_flowers-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:31:47:357,,return,100.95999,15:33:28:330,"a bright, open sitting area with 3 lights overhead","a bright, open sitting area with 4 lights overhead",0.083333333,-0.303703704,0,0,0,0,2,2,2,1,A2KVKX41C65RXA,27,wolfe_014_L_lamp-a_w_outline.jpg,wolfe_014_L_lamp-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:33:29:335,,return,113.123535,15:35:22:477,"a small, but cozy, office space with grass garden and 2 plates on the wall","a small, but cozy, office space with grass garden and 3 plates on the wall",-0.065740741,-0.444444444,0,0,0,0,3,3,3,1,A2KVKX41C65RXA,39,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:35:23:485,,return,173.239725,15:38:16:743,"a very modern bedroom with glass walls, white floors and brown accents","a very modern bedroom with glass walls, white floors, and brown accents with a small rug under one corner of the bed",-0.171296296,-0.289814815,0,0,0,0,4,4,0,1,A2KVKX41C65RXA,17,wolfe_009_L_carpet-a_w_outline.jpg,wolfe_009_L_carpet-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:38:17:750,,return,96.52243,15:39:54:292,a bright sunroom with fan and red seating with magazines in a basket,a bright sunroom with fan and red seating,0.021296296,-0.407407407,0,0,0,0,5,5,11,1,A2KVKX41C65RXA,223,wolfe_112_L_basket-a_w_outline.jpg,wolfe_112_L_basket-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:39:55:300,,return,89.089705,15:41:24:404,a stone floored bathroom with linen closet that has 1 large drawer on the bottom,a stone floored bathroom with linen closet that has 2 small drawers on the bottom,0.158333333,-0.24537037,0,0,0,0,6,6,7,1,A2KVKX41C65RXA,105,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:41:25:411,,return,86.345105,15:42:51:770,"a bright, modern bathroom with 1 bottle on the counter","a bright, modern bathroom with 2 bottles on the counter",0.299074074,-0.288888889,0,0,0,0,7,7,1,1,A2KVKX41C65RXA,21,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:42:52:777,,return,257.2093,15:47:10:2,"a modern looking living room with plenty of natural light, and plenty of clean looking white with 5 decorative pieces on the back shelf","a modern looking living room with plenty of natural light, and plenty of clean looking white with 6 decorative pieces on the back shelf",-0.307407407,-0.269444444,0,0,0,0,8,8,4,1,A2KVKX41C65RXA,49,wolfe_025_L_vase-a_w_outline.jpg,wolfe_025_L_vase-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15:47:11:9,,return,73.293675,15:48:24:315,a white kitchen with red cabinets that has 5 dishes on the back right shelf,a white kitchen with red cabinets that has 6 dishes on the back right shelf,0.112037037,-0.201851852,0,0,0,0,9,9,6,1,A2KVKX41C65RXA,71,wolfe_036_L_bowl-a_w_outline.jpg,wolfe_036_L_bowl-b_w_outline.jpg,24,A2KVKX41C65RXA,2020-12-30_15h25.41.492,MetaAwareness,2020.1.2,Win32,60,3QI9WAYOGREVHYV0FD3MYS93YXD6S2,33CID57105WC2MBM24DP3MECLY03LN,1DC31,1DC31,33CID57105WC2MBM24DP3MECLY03LN,33CID57105WC2MBM24DP3MECLY03LN,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
