start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
13:58:9:462,13:58:23:847,13:58:38:769,13:58:38:784,space,3.13289,13:58:42:18,13:58:42:26,space,7.292705,13:58:49:337,13:58:50:339,,space,10.799705,13:59:1:221,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.276851887,-0.258333356,0,0,0,13:59:2:234,,space,4.30547,13:59:6:601,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.276851887,-0.258333356,0,0,0,13:59:7:615,,space,3.740565,13:59:11:432,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.276851887,-0.258333356,0,0,0,13:59:12:451,return,5.896735,13:59:18:360,13:59:19:376,,return,39.722315,13:59:59:133,a room with bookshelves and an empty box.,a room with bookshelves and a boxed in area filled with wood.,0.257407442,-0.323148173,0,0,0,0,0,0,3,1,A3SH7B3UK915FC,108,wolfe_054_R_firewood-a_w_outline.jpg,wolfe_054_R_firewood-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:0:0:144,,return,41.871655,14:0:42:60,a kitchen with an empty blue bowl.,a kitchen with a bowl filled with food.,0.457407448,-0.273148171,0,0,0,0,1,1,1,1,A3SH7B3UK915FC,82,wolfe_041_R_fruit-a_w_outline.jpg,wolfe_041_R_fruit-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:0:43:73,,return,35.360685,14:1:18:491,a kitchen area with a person sitting in a chair.,a kitchen area with empty chairs.,0.273148183,-0.274074154,0,0,0,0,2,2,7,1,A3SH7B3UK915FC,208,wolfe_104_R_bottle-a_w_outline.jpg,wolfe_104_R_bottle-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:1:19:504,,return,31.322105,14:1:50:859,a bedroom with no pictures near the mirror.,a bedroom with a picture hanging near the mirror.,0.164814846,-0.295370394,0,0,0,0,3,3,2,1,A3SH7B3UK915FC,98,wolfe_049_R_painting-a_w_outline.jpg,wolfe_049_R_painting-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:1:51:874,,return,39.389725,14:2:31:325,a living room with a decorative piece of art below the tv.,a living room with no items underneath the tv.,0.263888923,-0.321296377,0,0,0,0,4,4,11,1,A3SH7B3UK915FC,252,wolfe_126_R_candles-a_w_outline.jpg,wolfe_126_R_candles-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:2:32:339,,return,43.449545,14:3:15:855,a living room with an unknown item on the floor near the window.,a living room with nothing on the floor or near the windows.,0.258333368,-0.335185267,0,0,0,0,5,5,10,1,A3SH7B3UK915FC,250,wolfe_125_R_sofa-a_w_outline.jpg,wolfe_125_R_sofa-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:3:16:869,,return,32.517875,14:3:49:456,"a bedroom with a stool, blanket and book.","a bedroom with a stool, blanket, book and rug underneath.",0.221296329,-0.28703706,0,0,0,0,6,6,0,1,A3SH7B3UK915FC,18,wolfe_009_R_carpet-a_w_outline.jpg,wolfe_009_R_carpet-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:3:50:471,,return,32.88712,14:4:23:389,a living room with an empty fireplace.,a living room with something in the fireplace.,0.220370403,-0.303703728,0,0,0,0,7,7,5,1,A3SH7B3UK915FC,124,wolfe_062_R_flowers-a_w_outline.jpg,wolfe_062_R_flowers-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:4:24:407,,return,71.128525,14:5:35:559,a fitting room with four items on the right side of the clothes rack.,a fitting room with  three items on the right side of the clothes rack.,0.472222263,-0.28703706,0,0,0,0,8,8,8,1,A3SH7B3UK915FC,214,wolfe_107_R_shirts-a_w_outline.jpg,wolfe_107_R_shirts-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:5:36:572,,return,30.076275,14:6:6:702,a bathroom with a faucet and left side handle.,a bathroom with a faucet and left and right side handle.,0.103703733,-0.311111135,0,0,0,0,9,9,6,1,A3SH7B3UK915FC,156,wolfe_078_R_faucet-a_w_outline.jpg,wolfe_078_R_faucet-b_w_outline.jpg,24,A3SH7B3UK915FC,2020-12-30_13h58.23.629,MetaAwareness,2020.1.2,Win32,60,307FVKVSYSIVJD7U8MCW63TTFST47R,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,URLN1,URLN1,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,3NL0RFNU0GQM0CC8HI67YRT3AYH4KW,266571,266571,,,,,,,,,,,,,,,,,,,,,,,,
