start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
0:52:30:520,0:52:52:687,0:53:7:592,0:53:7:595,space,43.688475,0:53:51:421,0:53:51:426,space,1.46784,0:53:52:921,0:53:53:937,,space,20.8996,0:54:14:887,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.079427083,-0.140625,0,0,0,0:54:15:901,,space,2.91555,0:54:18:852,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.079427083,-0.140625,0,0,0,0:54:19:865,,space,29.856735,0:54:49:750,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.72265625,0.5,0,0,0,0:54:50:765,return,4.900565,0:54:55:679,0:54:56:713,,return,102.659265,0:56:39:408,an empty slot at the bookshelf,books arranged on a bookshelf,0.005208333,-0.44140625,0,0,0,0,0,0,7,1,A1I0LYDWQ5B7Z5,129,wolfe_065_L_cd-a_w_outline.jpg,wolfe_065_L_cd-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:56:40:419,,return,34.645905,0:57:15:86,a pillow on a couch,a couch with no pillow,-0.046875,-0.403645833,0,0,0,0,1,1,10,1,A1I0LYDWQ5B7Z5,217,wolfe_109_L_pillow-a_w_outline.jpg,wolfe_109_L_pillow-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:57:16:98,,return,56.133035,0:58:12:261,an empty wall,a speaker mounted on the wall undr a television set,-0.078125,-0.38671875,0,0,0,0,2,2,6,1,A1I0LYDWQ5B7Z5,103,wolfe_052_L_speaker-a_w_outline.jpg,wolfe_052_L_speaker-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:58:13:276,,return,45.51621,0:58:58:820,a countertop,a clean kitchen counter,0.3515625,-0.3125,0,0,0,0,3,3,3,1,A1I0LYDWQ5B7Z5,59,wolfe_030_L_drawer-a_w_outline.jpg,wolfe_030_L_drawer-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:58:59:834,,return,69.2991,1:0:9:157,clear sky.,a network pole in the woods,-0.41015625,-0.110677083,0,0,0,0,4,4,0,1,A1I0LYDWQ5B7Z5,7,wolfe_004_L_electricalgrid-a_w_outline.jpg,wolfe_004_L_electricalgrid-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:0:10:171,,return,99.320725,1:1:49:533,a plant in the corner of  hotel,a corner with no plant,-0.243489583,0.197916667,0,0,0,0,5,5,11,1,A1I0LYDWQ5B7Z5,225,wolfe_113_L_plant-a_w_outline.jpg,wolfe_113_L_plant-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:1:50:546,,return,35.540845,1:2:26:110,a tissue holder on the wall,a clear wall,0.032552083,-0.30078125,0,0,0,0,6,6,9,1,A1I0LYDWQ5B7Z5,169,wolfe_085_L_switchboard-a_w_outline.jpg,wolfe_085_L_switchboard-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:2:27:122,,return,51.261065,1:3:18:415,towels well aranged,more towels on a rack,0.759114583,-0.28515625,0,0,0,0,7,7,4,1,A1I0LYDWQ5B7Z5,73,wolfe_037_L_towel-a_w_outline.jpg,wolfe_037_L_towel-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:3:19:430,,return,21.358615,1:3:40:816,a clear wall,a lamp on a wall,0.40234375,-0.30859375,0,0,0,0,8,8,1,1,A1I0LYDWQ5B7Z5,27,wolfe_014_L_lamp-a_w_outline.jpg,wolfe_014_L_lamp-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:3:41:830,,return,36.983325,1:4:18:831,a clear wall,a picture hang on the wall,0.376302083,-0.260416667,0,0,0,0,9,9,5,1,A1I0LYDWQ5B7Z5,79,wolfe_040_L_painting-a_w_outline.jpg,wolfe_040_L_painting-b_w_outline.jpg,30,A1I0LYDWQ5B7Z5,2021-01-08_00h52.52.335,MetaAwareness,2020.1.2,Win32,60,31HLTCK4BMYD6J1ALLHDL66ZRPFGV8,336KAV9KYRV7H3M2HJOAEKBGOW42YX,KA638,KA638,336KAV9KYRV7H3M2HJOAEKBGOW42YX,336KAV9KYRV7H3M2HJOAEKBGOW42YX,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
