start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
7:12:59:474,7:13:10:886,7:13:25:800,7:13:25:802,space,22.81272,7:13:48:751,7:13:48:757,space,9.17621,7:13:57:945,7:13:58:948,,space,18.507155,7:14:17:488,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.182968027,-0.229922598,0,0,0,7:14:18:490,,space,4.218445,7:14:22:736,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.182968027,-0.229922598,0,0,0,7:14:23:738,,space,5.01092,7:14:28:770,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.182968027,-0.229922598,0,0,0,7:14:29:774,return,7.42952,7:14:37:214,7:14:38:248,,return,99.9375,7:16:18:214,"a pink themed decorated room, with a radio sitting on top of the pink desk ",a pink themed decorated room with an empty pink desk,0.302235243,-0.258376736,0,0,0,0,0,0,5,1,A2S64AUN7JI7ZS,192,wolfe_096_R_painting-a_w_outline.jpg,wolfe_096_R_painting-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:16:19:232,,return,98.40466,7:17:57:656,"a carpeted furnished living room, there a potted plant near the sliding glass doors with shoes in front of it",a carpeted furnished living with a potted plant near the sliding glass doors,0.206770833,-0.222583912,0,0,0,0,1,1,7,1,A2S64AUN7JI7ZS,236,wolfe_118_R_shoes-a_w_outline.jpg,wolfe_118_R_shoes-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:17:58:659,,return,117.438645,7:19:56:124,an empty salon with five stations on the right wall.  there's a clock next to the far left mirror.,an empty salon with five stations on the right wall. ,0.226953125,-0.213295718,0,0,0,0,2,2,4,1,A2S64AUN7JI7ZS,176,wolfe_088_R_clock-a_w_outline.jpg,wolfe_088_R_clock-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:19:57:126,,return,156.87916,7:22:34:27,an indoor hot tub surrounded by several potted plants.  there's a single plant on the right side of the tub,an indoor hot tub surrounded by several potted plants  ,-0.220706742,-0.25749783,0,0,0,0,3,3,8,1,A2S64AUN7JI7ZS,246,wolfe_123_R_pot-a_w_outline.jpg,wolfe_123_R_pot-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:22:35:29,,return,94.693095,7:24:9:744,a furnished living room with a l shaped couch.  the ceiling has a single beam going across it,a furnished living room with a l shaped couch.  the ceiling has two beams going across it,0.136317274,-0.269256366,0,0,0,0,4,4,2,1,A2S64AUN7JI7ZS,62,wolfe_031_R_log-a_w_outline.jpg,wolfe_031_R_log-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:24:10:746,,return,78.06033,7:25:28:829,an office area with a book shelf and desk.  the desk has a lamp on the left side. ,an office area with a book shelf and desk.,0.175119358,-0.224540654,0,0,0,0,5,5,10,1,A2S64AUN7JI7ZS,256,wolfe_128_R_pot-a_w_outline.jpg,wolfe_128_R_pot-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:25:29:830,,return,95.330125,7:27:5:182,a bathroom with seperate sinks. ,"a bathroom with seperate sinks, the sinks are ajoined by a small counter top and drawer",0.17125651,-0.26291956,0,0,0,0,6,6,1,1,A2S64AUN7JI7ZS,60,wolfe_030_R_drawer-a_w_outline.jpg,wolfe_030_R_drawer-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:27:6:199,,return,75.602975,7:28:21:825," a bathroom with 2 sinks, a shower, and 4 shelves.  the bottom right shelf has 2 red cups","a bathroom with 2 sinks, a shower, and 4 shelves. the bottom right shelf has 3 red cups",0.187811053,-0.265046296,0,0,0,0,7,7,0,1,A2S64AUN7JI7ZS,58,wolfe_029_R_glass-a_w_outline.jpg,wolfe_029_R_glass-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:28:22:827,,return,93.476235,7:29:56:322,"a furnished country club lounge, the back right corner has a potted plant",a furnished country club lounge,0.216518374,-0.270334201,0,0,0,0,8,8,6,1,A2S64AUN7JI7ZS,226,wolfe_113_R_plant-a_w_outline.jpg,wolfe_113_R_plant-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:29:57:324,,return,93.674595,7:31:31:21,"a living room with a l shaped couch, automan, mounted tv and shelves.  the shelf has a candle under the tv","a living room with a l shaped couch, automan, mounted tv and shelves. ",0.161237703,-0.192871094,0,0,0,0,9,9,9,1,A2S64AUN7JI7ZS,252,wolfe_126_R_candles-a_w_outline.jpg,wolfe_126_R_candles-b_w_outline.jpg,43,A2S64AUN7JI7ZS,2021-01-07_07h13.10.686,MetaAwareness,2020.1.2,MacIntel,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,317HQ483I8VHGPWQZK0RKKKQ978IN7,3Q718,3Q718,317HQ483I8VHGPWQZK0RKKKQ978IN7,317HQ483I8VHGPWQZK0RKKKQ978IN7,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
