start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
7:1:53:158,7:2:3:420,7:2:18:243,7:2:18:247,space,9.00082,7:2:27:460,7:2:27:467,space,14.799905,7:2:42:293,7:2:43:309,,space,20.729355,7:3:4:95,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.032552083,-0.110677083,0,0,0,7:3:5:110,,space,14.970495,7:3:20:112,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.032552083,-0.110677083,0,0,0,7:3:21:128,,space,12.862795,7:3:34:22,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.032552083,-0.110677083,0,0,0,7:3:35:34,return,6.941785,7:3:41:997,7:3:43:31,,return,66.392615,7:4:49:469,a living room with a bookcase and no logs in the fireplace,a living room with a bookcase and logs in the fireplace ,0.233072917,-0.274739583,0,0,0,0,0,0,5,1,AOS2PVHT2HYTL,107,wolfe_054_L_firewood-a_w_outline.jpg,wolfe_054_L_firewood-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:4:50:484,,return,148.71556,7:7:19:229,a library with several bookcases and the second bookcase on the left has no waste basket on the side of it,a library with several bookcases and the second bookcase on the left has a waste basket to the side of it,0.16796875,-0.2890625,0,0,0,0,1,1,7,1,AOS2PVHT2HYTL,113,wolfe_057_L_bin-a_w_outline.jpg,wolfe_057_L_bin-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:7:20:244,,return,142.043195,7:9:42:316,a very clean bathroom with a tub and two sinks below a mirror,a bathroom with a tub with a drain below the faucet and two sinks below a mirror,0.178385417,-0.28515625,0,0,0,0,2,2,1,1,AOS2PVHT2HYTL,23,wolfe_012_L_tubaccesory-a_w_outline.jpg,wolfe_012_L_tubaccesory-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:9:43:321,,return,136.2428,7:11:59:615,a living room with two windows and a sofa that has pilllows on it,a living room with two windows and a sofa that has pillows on it and a blanket  and a book on the corner of it,0.598958333,-0.274739583,0,0,0,0,3,3,6,1,AOS2PVHT2HYTL,111,wolfe_056_L_comforter-a_w_outline.jpg,wolfe_056_L_comforter-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:12:0:629,,return,84.793045,7:13:25:454,an office space that is neat and tidy with a bookcase with 5 shelves of books on it,an office space that is neat and tidy with a bookcase with 6 shelves of books on it,0.26953125,-0.30859375,0,0,0,0,4,4,4,1,AOS2PVHT2HYTL,99,wolfe_050_L_book-a_w_outline.jpg,wolfe_050_L_book-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:13:26:468,,return,61.713715,7:14:28:209,"a very neat bedroom with a bed, mirrors and a small lamp in the corner","a very neat bedroom with a bed, mirrors and no lamp in the corner",0.1328125,-0.270833333,0,0,0,0,5,5,9,1,AOS2PVHT2HYTL,179,wolfe_090_L_lamp-a_w_outline.jpg,wolfe_090_L_lamp-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:14:29:224,,return,120.90358,7:16:30:161,"a bathroom that has a long mirror, a large sink with two faucets and a mirror attached to the left","a bathroom that has a long mirror, a large sink with two faucets and a bare wall on the left",0.46875,-0.23828125,0,0,0,0,6,6,10,1,AOS2PVHT2HYTL,199,wolfe_100_L_mirror-a_w_outline.jpg,wolfe_100_L_mirror-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:16:31:182,,return,101.73197,7:18:12:955,a child's bedroom that is very colorful with a knob missing on the blue drawer,a child's bedroom that is very colorful with all the knobs intact on the dresser,-0.889322917,-0.235677083,0,0,0,0,7,7,8,1,AOS2PVHT2HYTL,165,wolfe_083_L_knob-a_w_outline.jpg,wolfe_083_L_knob-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:18:13:970,,return,65.97847,7:19:19:976,a rustic looking living room area that looks outside onto a patio with a pair of shoes in front of the planter,a rustic looking living room area that looks outside onto a patio,0.169270833,-0.287760417,0,0,0,0,8,8,11,1,AOS2PVHT2HYTL,235,wolfe_118_L_shoes-a_w_outline.jpg,wolfe_118_L_shoes-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:19:20:992,,return,122.5586,7:21:23:579,a beautiful bedroom decorated in shades of brown and off white with pictures arranged above the bed,a beautiful bedroom decorated in shades of brown and off white with pictures arranged above the bed and to the right of the dresser,0.19921875,-0.303385417,0,0,0,0,9,9,3,1,AOS2PVHT2HYTL,97,wolfe_049_L_painting-a_w_outline.jpg,wolfe_049_L_painting-b_w_outline.jpg,66,AOS2PVHT2HYTL,2021-01-07_07h02.02.982,MetaAwareness,2020.1.2,Win32,60,3NZ1E5QA6040H8EKZ87MGXL3YN85BU,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,V6Z08,V6Z08,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,30ZX6P7VF9YHMER3VJN74XWSBR5J2S,267738,267738,,,,,,,,,,,,,,,,,,,,,,,,
