start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
14:3:40:688,14:4:1:762,14:4:16:683,14:4:16:687,space,26.53685,14:4:43:330,14:4:43:335,space,12.8554,14:4:56:214,14:4:57:230,,space,27.80334,14:5:25:95,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.25624566,-0.21062934,0,0,0,14:5:26:112,,space,10.193975,14:5:36:351,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.25624566,-0.21062934,0,0,0,14:5:37:367,,space,7.262165,14:5:44:667,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.25624566,-0.21062934,0,0,0,14:5:45:687,return,4.925915,14:5:50:633,14:5:51:666,,return,64.71411,14:6:56:415,a beautiful living area including a dining room with no air conditioning vent over the couch,a beautiful living area and dining room with an air conditioning vent over the couch,-0.175017361,-0.30359375,0,0,0,0,0,0,1,1,A1VJ4ZOXP9PUCP,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:6:57:429,,return,33.999675,14:7:31:462,an office space with black and red circle mats,"an office space with black, red and blue mats",0.167899306,-0.228736979,0,0,0,0,1,1,2,1,A1VJ4ZOXP9PUCP,109,wolfe_055_L_carpet-a_w_outline.jpg,wolfe_055_L_carpet-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:7:32:477,,return,56.399805,14:8:28:908,a living room with a screen door to the outside and a flower and two gold statues on the mantle,a living room with a screen door to the outside and a flower and one gold statue on the mantle,0.193728299,-0.242747396,0,0,0,0,2,2,9,1,A1VJ4ZOXP9PUCP,239,wolfe_120_L_art-a_w_outline.jpg,wolfe_120_L_art-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:8:29:922,,return,40.223095,14:9:10:172,a messy kids bedroom with nothing over top of the mirror,a messy kids bedroom with a large toy car sitting over top of the mirror,-0.03141059,-0.369895833,0,0,0,0,3,3,3,1,A1VJ4ZOXP9PUCP,117,wolfe_059_L_car-a_w_outline.jpg,wolfe_059_L_car-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:9:11:187,,return,36.834615,14:9:48:54,"a yellow kitchen with countertops and an island, there is one plant on the counter",a yellow kitchen with countertops and an island and two plants sitting on the counter,0.124739583,-0.230460069,0,0,0,0,4,4,4,1,A1VJ4ZOXP9PUCP,159,wolfe_080_L_plant-a_w_outline.jpg,wolfe_080_L_plant-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:9:49:67,,return,39.301415,14:10:28:400,two beds with yellow sheets and a small gold box on the wall between the beds,two beds with yellow sheets and nothing on the wall in between the beds,-0.097877604,-0.284674479,0,0,0,0,5,5,6,1,A1VJ4ZOXP9PUCP,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:10:29:416,,return,525.182095,14:19:14:675,a burgundy colored bathroom with three sinks and a white box on the back wall.,a burgundy colored bathroom with three sinks and no white box on the back wall,0.193728299,-0.236979167,0,0,0,0,6,6,5,1,A1VJ4ZOXP9PUCP,181,wolfe_091_L_airfreshener-a_w_outline.jpg,wolfe_091_L_airfreshener-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:19:15:689,,return,62.15,14:20:17:871,"a bedroom with a cheetah print comforter, two blankets and a hat on the bed",a bedroom with a cheetah print comforter and two blankets on the bed,0.044861111,-0.410520833,0,0,0,0,7,7,7,1,A1VJ4ZOXP9PUCP,209,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:20:18:883,,return,36.070945,14:20:54:985,a black bathroom countertop with a metal block sitting on top,a black bathroom countertop with two metal blocks sitting on top,0.25046441,-0.252664931,0,0,0,0,8,8,0,1,A1VJ4ZOXP9PUCP,55,wolfe_028_L_vase-a_w_outline.jpg,wolfe_028_L_vase-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14:20:55:998,,return,52.82233,14:21:48:847,a walk in closet with a white dresser that has a blue figurine and other various objects on top of it.,a walk in closet with a white dresser that has various objects on it,-0.173289931,-0.301289062,0,0,0,0,9,9,8,1,A1VJ4ZOXP9PUCP,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,31,A1VJ4ZOXP9PUCP,2021-01-11_14h04.01.509,MetaAwareness,2020.1.2,MacIntel,60,3RQVKZ7ZRLMLGZS748T8DOWVVRC723,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,LGOW0,LGOW0,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,3WOKGM4L72JORFFMW9BYT5KZE1Q0OW,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
