start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
16:49:38:655,16:49:45:481,16:50:0:320,16:50:0:327,space,6.9851,16:50:7:323,16:50:7:343,space,4.1323,16:50:11:484,16:50:12:503,,space,11.99414,16:50:24:537,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,-0.205555556,-0.20462963,0,0,0,16:50:25:558,,space,2.246605,16:50:27:826,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.205555556,-0.20462963,0,0,0,16:50:28:858,,space,0.945415,16:50:29:823,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.205555556,-0.20462963,0,0,0,16:50:30:848,return,18.177615,16:50:49:31,16:50:50:91,,return,51.46693,16:51:41:593,a white room filled with white furniture,a room with white furniture and chandeliers on the wall,0.190740741,-0.255555556,0,0,0,0,0,0,7,1,A2XQ3P6M9NZNYB,139,wolfe_070_L_lamp-a_w_outline.jpg,wolfe_070_L_lamp-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:51:42:613,,return,8.263855,16:51:50:901,fffgfg,fgdgfgg,0.118518519,-0.319444444,0,0,0,0,1,1,0,1,A2XQ3P6M9NZNYB,31,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:51:51:905,,return,3.088645,16:51:55:23,fgdgfdg,dggff,0.185185185,-0.24537037,0,0,0,0,2,2,2,1,A2XQ3P6M9NZNYB,63,wolfe_032_L_bottle-a_w_outline.jpg,wolfe_032_L_bottle-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:51:56:51,,return,4.251365,16:52:0:324,ddgggfd,fgdfdg,0.339814815,-0.219444444,0,0,0,0,3,3,9,1,A2XQ3P6M9NZNYB,153,wolfe_077_L_footrest-a_w_outline.jpg,wolfe_077_L_footrest-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:1:361,,return,4.24383,16:52:5:619,dfgfggfg,fdgdgfdg,0.135185185,-0.201851852,0,0,0,0,4,4,6,1,A2XQ3P6M9NZNYB,135,wolfe_068_L_faucet-a_w_outline.jpg,wolfe_068_L_faucet-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:6:621,,return,3.8774,16:52:10:514,dggdfgdgd,regregrg,0.172222222,-0.238888889,0,0,0,0,5,5,8,1,A2XQ3P6M9NZNYB,141,wolfe_071_L_art-a_w_outline.jpg,wolfe_071_L_art-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:11:534,,return,4.810365,16:52:16:367,reggregrh,rtgtgghgf,0.152777778,-0.224074074,0,0,0,0,6,6,4,1,A2XQ3P6M9NZNYB,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:17:372,,return,5.242975,16:52:22:627,grgrght,httgtfghfh,0.111111111,-0.240740741,0,0,0,0,7,7,5,1,A2XQ3P6M9NZNYB,107,wolfe_054_L_firewood-a_w_outline.jpg,wolfe_054_L_firewood-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:23:653,,return,3.838335,16:52:27:515,gthhhtr,hrthgrtht,0.161111111,-0.242592593,0,0,0,0,8,8,3,1,A2XQ3P6M9NZNYB,73,wolfe_037_L_towel-a_w_outline.jpg,wolfe_037_L_towel-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16:52:28:541,,return,4.75395,16:52:33:312,htrhtgh,rhtrgtgfd,0.187037037,-0.243518519,0,0,0,0,9,9,10,1,A2XQ3P6M9NZNYB,179,wolfe_090_L_lamp-a_w_outline.jpg,wolfe_090_L_lamp-b_w_outline.jpg,32,A2XQ3P6M9NZNYB,2021-01-11_16h49.44.849,MetaAwareness,2020.1.2,Win32,60,3I4E7AFQ2L28KTNMOW21H1AUMZTTJS,3RWE2M8QWID69UFAVUBLEGKUORE0NA,Q2WR0,Q2WR0,3RWE2M8QWID69UFAVUBLEGKUORE0NA,3RWE2M8QWID69UFAVUBLEGKUORE0NA,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
