start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:37:42:422,21:40:59:389,21:41:14:314,21:41:14:318,space,46.736,21:42:1:72,21:42:1:81,space,2.9,21:42:4:4,21:42:5:43,,space,6.464,21:42:11:534,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.149739583,-0.325520833,0,0,0,21:42:12:534,,space,6.475,21:42:19:34,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.001302083,0.37890625,0,0,0,21:42:20:43,,space,6.021,21:42:26:110,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.192708333,-0.26953125,0,0,0,21:42:27:114,return,3.48,21:42:30:599,21:42:31:632,,return,32.071,21:43:3:721,washfashion,purfume,0.255208333,-0.290364583,0,0,0,0,0,0,0,1,A3SFNRMEB6IDUI,21,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:4:752,,return,13.153,21:43:17:911,bathroom,light,0.412760417,-0.287760417,0,0,0,0,1,1,4,1,A3SFNRMEB6IDUI,87,wolfe_044_L_light-a_w_outline.jpg,wolfe_044_L_light-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:18:913,,return,11.452,21:43:30:377,table,table,0.365885417,-0.309895833,0,0,0,0,2,2,8,1,A3SFNRMEB6IDUI,227,wolfe_114_L_bird-a_w_outline.jpg,wolfe_114_L_bird-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:31:407,,return,14.271,21:43:45:690,bottle,bottle,0.2578125,-0.287760417,0,0,0,0,3,3,1,1,A3SFNRMEB6IDUI,63,wolfe_032_L_bottle-a_w_outline.jpg,wolfe_032_L_bottle-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:46:719,,return,12.135,21:43:58:878,juck,muk,0.390625,-0.315104167,0,0,0,0,4,4,6,1,A3SFNRMEB6IDUI,221,wolfe_111_L_pot-a_w_outline.jpg,wolfe_111_L_pot-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:59:907,,return,11.054,21:44:10:973,self,clock,0.372395833,-0.309895833,0,0,0,0,5,5,3,1,A3SFNRMEB6IDUI,85,wolfe_043_L_clock-a_w_outline.jpg,wolfe_043_L_clock-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:12:1,,return,27.354,21:44:39:365,cup,glass,0.365885417,-0.263020833,0,0,0,0,6,6,5,1,A3SFNRMEB6IDUI,121,wolfe_061_L_glass-a_w_outline.jpg,wolfe_061_L_glass-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:40:377,,return,10.392,21:44:50:784,wall,model,0.516927083,-0.28515625,0,0,0,0,7,7,2,1,A3SFNRMEB6IDUI,75,wolfe_038_L_art-a_w_outline.jpg,wolfe_038_L_art-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:51:797,,return,12.531,21:45:4:358,jack,bukcet,0.24609375,-0.251302083,0,0,0,0,8,8,7,1,A3SFNRMEB6IDUI,223,wolfe_112_L_basket-a_w_outline.jpg,wolfe_112_L_basket-b_w_outline.jpg,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3SFNRMEB6IDUI,,,,34,A3SFNRMEB6IDUI,2021-01-11_21h40.59.087,MetaAwareness,2020.1.2,Win32,60,3BAKUKE49IFO9XUQUIR0DMDQ4X21RP,3DYGAII7PMBU08WMS7ISXBG71BDPQV,7AYD0,7AYD0,3DYGAII7PMBU08WMS7ISXBG71BDPQV,3DYGAII7PMBU08WMS7ISXBG71BDPQV,268330,268330,21:45:5:377,,return,7.563,21:45:12:953,cow,grass,0.26171875,-0.28125,0,0,0,21:45:13:969,,return,14.657,21:45:28:634,airoplan,sky,0.138020833,-0.303385417,0,0,0
