start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
9:18:17:260,9:18:26:923,9:18:41:874,9:18:41:882,space,6.985515,9:18:48:968,9:18:48:974,space,18.483835,9:19:7:468,9:19:8:476,,space,21.99013,9:19:30:496,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.158333333,-0.214814815,0,0,0,9:19:31:502,,space,13.08374,9:19:44:621,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.158333333,-0.214814815,0,0,0,9:19:45:627,,space,7.61834,9:19:53:267,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.158333333,-0.214814815,0,0,0,9:19:54:275,return,6.863665,9:20:1:149,9:20:2:162,,return,66.249365,9:21:8:429,"a clean and modern kitchen with 4 stool chairs, one stool missing a foot rest",a clean and modern kitchen with 4 stool chairs that all have foot rests,0.135185185,-0.262037037,0,0,0,0,0,0,4,1,A25N0K40JAZTN1,154,wolfe_077_R_footrest-a_w_outline.jpg,wolfe_077_R_footrest-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:21:9:433,,return,53.5841,9:22:3:40,a clean and light bathroom with an electrical outlet next to the mirror,a clean and light bathroom without any electrical outlet next to the mirror,0.081481481,-0.27037037,0,0,0,0,1,1,5,1,A25N0K40JAZTN1,170,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:22:4:43,,return,43.27726,9:22:47:338,a modern dining room with a candal and holder on the wall,a modern dining room without a candal and holder on the wall,0.423148148,-0.256481481,0,0,0,0,2,2,8,1,A25N0K40JAZTN1,198,wolfe_099_R_sconce-a_w_outline.jpg,wolfe_099_R_sconce-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:22:48:344,,return,69.737175,9:23:58:99,a rustic looking cafe with a table that has a vase and flowers,a rustic looking cafe with tables that don't have a vase or flowers on them,0.147222222,-0.257407407,0,0,0,0,3,3,10,1,A25N0K40JAZTN1,208,wolfe_104_R_bottle-a_w_outline.jpg,wolfe_104_R_bottle-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:23:59:105,,return,51.91845,9:24:51:57,a modern and red kitchen without any bowls on the display shelf,a modern and red kitchen that has bowls on a display shelf for easy use,0.115740741,-0.277777778,0,0,0,0,4,4,1,1,A25N0K40JAZTN1,72,wolfe_036_R_bowl-a_w_outline.jpg,wolfe_036_R_bowl-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:24:52:63,,return,57.608745,9:25:49:692,a bedroom with a bed that has a hat on it.,a bedroom with a bed that doesn't have a hat on it,0.161111111,-0.27037037,0,0,0,0,5,5,11,1,A25N0K40JAZTN1,210,wolfe_105_R_hat-a_w_outline.jpg,wolfe_105_R_hat-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:25:50:695,,return,59.766305,9:26:50:480,a clean and modern looking bathroom with 5 rolled up towels on the shelf,a clean and modern looking bathroom with 6 rolled up towels on the shelf,0.143518519,-0.267592593,0,0,0,0,6,6,2,1,A25N0K40JAZTN1,74,wolfe_037_R_towel-a_w_outline.jpg,wolfe_037_R_towel-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:26:51:486,,return,68.59289,9:28:0:98,a bathroom with two sinks and a picture of some sort nex to the mirror,a bathroom with two sinks and no picture next to the mirror,0.077777778,-0.40462963,0,0,0,0,7,7,9,1,A25N0K40JAZTN1,206,wolfe_103_R_hook-a_w_outline.jpg,wolfe_103_R_hook-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:28:1:105,,return,50.000905,9:28:51:140,a colorful room with a table that has nothing on top of a table mat,a colorful room with a table that has a keyboard on top of a mat,0.123148148,-0.3,0,0,0,0,8,8,0,1,A25N0K40JAZTN1,42,wolfe_021_R_keyboard-a_w_outline.jpg,wolfe_021_R_keyboard-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:28:52:145,,return,45.634035,9:29:37:794,a modern bedroom without a blanket on the couch,a modern bedroom with a blanket folded up and sitting on the couch,0.232407407,-0.353703704,0,0,0,0,9,9,3,1,A25N0K40JAZTN1,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:29:38:798,,return,34.15272,9:30:12:968,a clean and red-themed bedroom with a vase in the corner,a clean and red-themed bedroom with no vase in the corner,0.10462963,-0.271296296,0,0,0,0,10,10,6,1,A25N0K40JAZTN1,180,wolfe_090_R_lamp-a_w_outline.jpg,wolfe_090_R_lamp-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9:30:13:973,,return,31.549945,9:30:45:542,a modern looking bedroom with wood in the fireplace,a modern looking bedroom without any wood in the fireplace,0.083333333,-0.274074074,0,0,0,0,11,11,7,1,A25N0K40JAZTN1,184,wolfe_092_R_candles-a_w_outline.jpg,wolfe_092_R_candles-b_w_outline.jpg,49,A25N0K40JAZTN1,2021-01-13_09h18.26.754,MetaAwareness,2020.1.2,Win32,60,3QO7EE372PQPAUXIJ0VPE8GUUP6BQ0,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,S70V6,S70V6,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,3V0Z7YWSIZ3QD9RXC81Q7L7M7YXV2F,268696,268696,,,,,,,,,,,,,,,,,,,,,,,,
