start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:32:35:971,21:32:56:547,21:33:10:956,21:33:10:965,space,5.158055,21:33:16:770,21:33:16:793,space,19.02805,21:33:35:855,21:33:36:869,,space,38.94752,21:34:15:950,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.076443911,-0.145445188,0,0,0,21:34:16:967,,space,22.868985,21:34:39:899,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.020257473,-0.212389946,0,0,0,21:34:40:916,,space,9.32246,21:34:50:300,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.03505079,-0.193034093,0,0,0,21:34:51:318,return,15.55522,21:35:6:887,21:35:7:932,,return,108.542615,21:36:56:543,a hotel room with two beds and a plug next to each bed.,a hotel room with two beds and a plug next to one of the beds,0.111637672,-0.246850093,0,0,0,0,0,0,8,1,A1AOFLBJO1XS5V,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:57:561,,return,105.227465,21:38:42:844,aa nice kitchen with marble counter tops an island and a what looks like pasta next to a double oven,a nice well lit kitchen with hardwood floors and what looks like dry pasta next to a double oven.,0.374704838,-0.304430326,0,0,0,0,1,1,6,1,A1AOFLBJO1XS5V,145,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:38:43:855,,return,113.17554,21:40:37:79,a modern bathroom with a tub filling with water and a hand towel or a vase on the vanity,a modern bathroom with a tub filling with water and two hand towels or vases on the vanity,0.29108723,-0.281385183,0,0,0,0,2,2,2,1,A1AOFLBJO1XS5V,55,wolfe_028_L_vase-a_w_outline.jpg,wolfe_028_L_vase-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:40:38:83,,return,48.487675,21:41:26:610, a red public restroom with a window at the reflecting in a wall mirror,a red public restroom with thre sinks and a chair infront of a wall mirror.,0.232644081,-0.354859034,0,0,0,0,3,3,7,1,A1AOFLBJO1XS5V,181,wolfe_091_L_airfreshener-a_w_outline.jpg,wolfe_091_L_airfreshener-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:41:27:614,,return,40.240805,21:42:7:897,a bathrom with two bowl shaped sinks with the one on the right  missing a faucet,a bathroom with two bowl shaped sinks and two faucets.,0.156785965,-0.300036271,0,0,0,0,4,4,3,1,A1AOFLBJO1XS5V,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:42:8:913,,return,54.000995,21:43:2:964, a bedroom with a mirrored closet and on the bed are some clothes and a red striped purse,a bedroom with a mirrored closet and on the bed are some clothes,0.11684982,-0.293304125,0,0,0,0,5,5,9,1,A1AOFLBJO1XS5V,209,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:3:975,,return,48.849915,21:43:52:881,a bathroom with a tub connected to the shower and a light on the wall of the tub,a bathroom with a tub connected to the shower and two lights on the wall of the tub.,0.198265791,-0.281560342,0,0,0,0,6,6,4,1,A1AOFLBJO1XS5V,87,wolfe_044_L_light-a_w_outline.jpg,wolfe_044_L_light-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:43:53:889,,return,31.58033,21:44:25:522,a windowed room of a house looking to a pool with a shrub in the corner of the room,a windowed room of a house looking to a pool.,0.188503106,-0.365487734,0,0,0,0,7,7,11,1,A1AOFLBJO1XS5V,219,wolfe_110_L_plant-a_w_outline.jpg,wolfe_110_L_plant-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:44:26:538,,return,37.117375,21:45:3:705,a closet with a dresser at the end with a blue thing on top,a closet with a dresser and many clothes,0.31069684,-0.270432472,0,0,0,0,8,8,10,1,A1AOFLBJO1XS5V,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45:4:723,,return,35.67804,21:45:40:473,a bedroom with a swan picture and blue walls,a bedroom with a swan picture and blue walls and a hanging mirror near the corner of the room,0.143321991,-0.355758985,0,0,0,0,9,9,0,1,A1AOFLBJO1XS5V,1,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:45:41:486,,return,31.69983,21:46:13:241,a bedroom with a sitting area near the bed,a bedroom with a sitting area on top of a circular rug,0.147786299,-0.322518746,0,0,0,0,10,10,1,1,A1AOFLBJO1XS5V,17,wolfe_009_L_carpet-a_w_outline.jpg,wolfe_009_L_carpet-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:46:14:250,,return,34.468205,21:46:48:764,a hotel room with yellow designed carpet and a night stand,a hotel room with yellow designed carpet and an ipod on the night stand,0.243026416,-0.371635437,0,0,0,0,11,11,5,1,A1AOFLBJO1XS5V,89,wolfe_045_L_musicdock-a_w_outline.jpg,wolfe_045_L_musicdock-b_w_outline.jpg,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1AOFLBJO1XS5V,,,,31,A1AOFLBJO1XS5V,2021-01-14_21h32.55.064,MetaAwareness,2020.1.2,Linux x86_64,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,IYPN5,IYPN5,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,3NPFYT4IZD78WS4ZB2NXXAY8X10XGB,269225,269225,21:46:49:782,,return,10.544265,21:47:0:400, a field with a cow,a field,0.17210412,-0.344428778,0,0,0,21:47:1:416,,return,20.35053,21:47:21:823,the sky at dusk with a flying plane,the sky at dusk,-0.150293827,-0.266153971,0,0,0
