start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
21:29:16:415,21:29:33:496,21:29:48:386,21:29:48:391,space,20.232465,21:30:8:776,21:30:8:785,space,10.56839,21:30:19:388,21:30:20:388,,space,11.742395,21:30:32:219,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.102777793,-0.331481494,0,0,0,21:30:33:235,,space,10.1127,21:30:43:398,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.102777793,-0.331481494,0,0,0,21:30:44:414,,space,0.890055,21:30:45:352,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.102777793,-0.331481494,0,0,0,21:30:46:370,return,2.82281,21:30:49:204,21:30:50:221,,return,32.58973,21:31:22:848,a modern looking kitchen with a black shelf in its background,a modern looking kitchen with a plant on the counter,0.320370388,-0.258333345,0,0,0,0,0,0,6,1,A1TSD3O3C3ZUT6,160,wolfe_080_R_plant-a_w_outline.jpg,wolfe_080_R_plant-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:31:23:859,,return,36.807525,21:32:0:708,a bright two toneliving room with a white pillow on the sofa,a bright two tone living room with a black pillow on the sofa,0.148148164,-0.334259272,0,0,0,0,1,1,4,1,A1TSD3O3C3ZUT6,120,wolfe_060_R_pillow-a_w_outline.jpg,wolfe_060_R_pillow-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:1:716,,return,38.4362,21:32:40:193,a wide open conference room with tan chairs at tables,a wide open conference room with green carpet ,0.161111127,-0.293518587,0,0,0,0,2,2,11,1,A1TSD3O3C3ZUT6,244,wolfe_122_R_chair-a_w_outline.jpg,wolfe_122_R_chair-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:32:41:209,,return,40.861125,21:33:22:110,a study with suttle colors and a fireplace on thewall,a study with suttle colors and a ready to lit fireplace on the wall,0.13981483,-0.287037049,0,0,0,0,3,3,3,1,A1TSD3O3C3ZUT6,108,wolfe_054_R_firewood-a_w_outline.jpg,wolfe_054_R_firewood-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:33:23:121,,return,45.36922,21:34:8:540,a sun room near a pool wih a plant in the corner near window,a sun room near a pool with bright windows looking outside,0.229629646,-0.279629698,0,0,0,0,4,4,10,1,A1TSD3O3C3ZUT6,220,wolfe_110_R_plant-a_w_outline.jpg,wolfe_110_R_plant-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:34:9:556,,return,35.00109,21:34:44:601,a dining area froma  restaurant with three lights on the wall,a dining area from a restaurant with four lights on the wall,0.125925941,-0.348148161,0,0,0,0,5,5,1,1,A1TSD3O3C3ZUT6,28,wolfe_014_R_lamp-a_w_outline.jpg,wolfe_014_R_lamp-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:34:45:612,,return,37.38605,21:35:23:43,a classic style living room with fireplace and a shelf to the righta,a classic style living room with fireplace and a object on the shelf to the right,0.30185187,-0.312962975,0,0,0,0,6,6,5,1,A1TSD3O3C3ZUT6,138,wolfe_069_R_things-a_w_outline.jpg,wolfe_069_R_things-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:35:24:53,,return,42.016165,21:36:6:108,a grand style master bedroom with a white nightstand to the right,a granddstyle master bedroom with a object on the nightstand to the right,0.194444461,-0.292592604,0,0,0,0,7,7,7,1,A1TSD3O3C3ZUT6,164,wolfe_082_R_bowl-a_w_outline.jpg,wolfe_082_R_bowl-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:7:120,,return,41.402375,21:36:48:602,a hair salon with paintings on thewall,a hair salon with two paintings on the wall,0.170370386,-0.320370383,0,0,0,0,8,8,8,1,A1TSD3O3C3ZUT6,178,wolfe_089_R_poster-a_w_outline.jpg,wolfe_089_R_poster-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:36:49:615,,return,34.03558,21:37:23:691,a bathroom with a mirror mounted on the ight of the walla ,a small mirror with a towl rack to the right of the wall,0.216666683,-0.271296308,0,0,0,0,9,9,9,1,A1TSD3O3C3ZUT6,200,wolfe_100_R_mirror-a_w_outline.jpg,wolfe_100_R_mirror-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:37:24:703,,return,46.71077,21:38:11:456,a bathroom with a big bathtub with no overflow,a bathroom with a big bathtub with an overflow,0.312962981,-0.356481494,0,0,0,0,10,10,0,1,A1TSD3O3C3ZUT6,24,wolfe_012_R_tubaccesory-a_w_outline.jpg,wolfe_012_R_tubaccesory-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21:38:12:472,,return,45.94448,21:38:58:452,a grand bedroom with stripped wallpaper,a grand bedroom with a vase to the right of the sofa,0.157029195,-0.334482771,0,0,0,0,11,11,2,1,A1TSD3O3C3ZUT6,96,wolfe_048_R_art-a_w_outline.jpg,wolfe_048_R_art-b_w_outline.jpg,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A1TSD3O3C3ZUT6,,,,29,A1TSD3O3C3ZUT6,2021-01-14_21h29.33.116,MetaAwareness,2020.1.2,Win32,60,3P458N04Q2KFVEYYMLX67N9JXP3X2A,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,YL7X5,YL7X5,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,3X73LLYYQ2HHKUL6T2I6K8JBAN3NHG,269225,269225,21:38:59:456,,return,8.91648,21:39:8:417,a pasture with a cow,a green pasture,0.390450949,-0.365252002,0,0,0,21:39:9:433,,return,15.735705,21:39:25:207,airplaine in a sky,a bright sky,0.309814343,-0.403448289,0,0,0
