start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
5:19:56:335,5:20:24:652,5:20:39:540,5:20:39:548,space,34.5946,5:21:14:289,5:21:14:298,space,15.17937,5:21:29:521,5:21:30:535,,space,45.47004,5:22:16:87,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.183333365,-0.395370397,0,0,0,5:22:17:103,,space,18.836195,5:22:36:9,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,0.199074106,-0.348148173,0,0,0,5:22:37:25,,space,12.610645,5:22:49:707,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,0.199074106,-0.348148173,0,0,0,5:22:50:730,return,8.697165,5:22:59:448,5:23:0:465,,return,382.18015,5:29:22:716,a calm looking room overlooking the mountains with one set of towels on the left side of a basket on the bottom shelf of a cabinet," a calm looking room overlooking the mountains with two sets of towels, one on the right and one on the left side of a basket on the bottom shelf of a cabinet",0.357407445,-0.298148172,0,0,0,0,0,0,2,1,A27RVVHK9M81ST,47,wolfe_024_L_towels-a_w_outline.jpg,wolfe_024_L_towels-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:29:23:723,,return,102.294645,5:31:6:76,a comfortable living area with a large mirror above the fireplace and a light sconce on the right side of the mirror,a comfortable living area with a large mirror above the fireplace and a set of light sconces on either side of the mirror,0.421296335,-0.24814817,0,0,0,0,1,1,4,1,A27RVVHK9M81ST,139,wolfe_070_L_lamp-a_w_outline.jpg,wolfe_070_L_lamp-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:31:7:92,,return,66.280825,5:32:13:431,a large bathroom with a hand towel dispenser on the wall,a large bathroom,0.281481516,-0.277777801,0,0,0,0,2,2,8,1,A27RVVHK9M81ST,211,wolfe_106_L_toweldispenser-a_w_outline.jpg,wolfe_106_L_toweldispenser-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:32:14:434,,return,177.736275,5:35:12:229,"a modern living area overlooking a city with a sofa, chair and desk","a modern living area overlooking a city with a sofa with a mirror above it, chair and desk",0.222222255,-0.300000024,0,0,0,0,3,3,0,1,A27RVVHK9M81ST,9,wolfe_005_L_mirror-a_w_outline.jpg,wolfe_005_L_mirror-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:35:13:240,,return,124.099065,5:37:17:393,an outdoor screened in living area with houseplants and an urn sitting beside one of the houseplants,an outdoor screened in living area with houseplants,0.167592624,-0.285185265,0,0,0,0,4,4,9,1,A27RVVHK9M81ST,221,wolfe_111_L_pot-a_w_outline.jpg,wolfe_111_L_pot-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:37:18:411,,return,188.15897,5:40:26:637,a nice hotel room with double beds and there are wall outlets on the right side and in the middle of the beds,a nice hotel room with double beds and there is a wall outlet on the right side of the beds,0.213888922,-0.270370393,0,0,0,0,5,5,7,1,A27RVVHK9M81ST,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:40:27:643,,return,141.77424,5:42:49:497,a porch with two chairs and plants in the yard that are mostly low in height ,"a porch with two chairs and plants in the yard that are mostly low in height, except one on the left side of the porch that is very tall.",0.521296338,-0.28703706,0,0,0,0,6,6,1,1,A27RVVHK9M81ST,35,wolfe_018_L_plant-a_w_outline.jpg,wolfe_018_L_plant-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:42:50:518,,return,172.066495,5:45:42:651,an office area just inside a patio area with large glass doors.  there is a tall house plant inside the office area on the left side of the patio doors and there is an item on the floor in front of the house plant.,an office area just inside a patio area with large glass doors.  ther is a tall house plant inside the office area on the left side of the patio doors.,0.2166667,-0.293518599,0,0,0,0,7,7,11,1,A27RVVHK9M81ST,235,wolfe_118_L_shoes-a_w_outline.jpg,wolfe_118_L_shoes-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:45:43:659,,return,117.045735,5:47:40:766,a modern looking bathroom with a large shower and a large tub with a light on the left front side of the tub,a modern looking bathroom with a large shower and a large tub with two lights on the front of the tub,0.267592627,-0.249074153,0,0,0,0,8,8,3,1,A27RVVHK9M81ST,87,wolfe_044_L_light-a_w_outline.jpg,wolfe_044_L_light-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5:47:41:785,,return,123.650855,5:49:45:495,a living area just off the dining area with a large desk that has a yellow package sitting on the front center of the desk,a living area just off the dining ara with a large desk,0.205555588,-0.275925949,0,0,0,0,9,9,6,1,A27RVVHK9M81ST,171,wolfe_086_L_book-a_w_outline.jpg,wolfe_086_L_book-b_w_outline.jpg,59,A27RVVHK9M81ST,2021-01-17_05h20.24.227,MetaAwareness,2020.1.2,Win32,60,32L724R85MNEXQA9PX8H0QUXLOUPIX,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,S77O9,S77O9,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,3O7L7BFSHFSDMJJD6LX8UXQHWG0EIA,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
