start_time,opening_start_time,opening_end_time,consent_start_time,consent_response_keys,consent_response_rt,consent_end_time,instructions_1_start_time,key_resp_2_keys,key_resp_2_rt,instructions_1_end_time,Example_1_start_time,Example_1_resp_keys,Example_1_response_keys,Example_1_response_rt,Example_1_end_time,Example_1_a_text,Example_1_b_text,Example_1_mouse_x,Example_1_mouse_y,Example_1_mouse_leftButton,Example_1_mouse_midButton,Example_1_mouse_rightButton,Example_2_start_time,Example_2_resp_keys,Example_2_response_keys,Example_2_response_rt,Example_2_end_time,Example_2_a_text,Example_2_b_text,Example_2_mouse_x,Example_2_mouse_y,Example_2_mouse_leftButton,Example_2_mouse_midButton,Example_2_mouse_rightButton,Example_3_start_time,Example_3_resp_keys,Example_3_response_keys,Example_3_response_rt,Example_3_end_time,Example_3_a_text,Example_3_b_text,Example_3_mouse_x,Example_3_mouse_y,Example_3_mouse_leftButton,Example_3_mouse_midButton,Example_3_mouse_rightButton,instructions_2_start_time,Start_resp_2_keys,Start_resp_2_rt,instructions_2_end_time,trial_start_time,user_resp_keys,trial_response_keys,trial_response_rt,trial_end_time,image_1_text,image_2_text,trial_mouse_x,trial_mouse_y,trial_mouse_leftButton,trial_mouse_midButton,trial_mouse_rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_start_time,Cow_resp_keys,Cow_response_keys,Cow_response_rt,Cow_end_time,Cow_a_text,Cow_b_text,Cow_mouse_x,Cow_mouse_y,Cow_mouse_leftButton,Cow_mouse_midButton,Cow_mouse_rightButton,Airplane_start_time,Airplane_resp_keys,Airplane_response_keys,Airplane_response_rt,Airplane_end_time,Airplane_a_text,Airplane_b_text,Airplane_mouse_x,Airplane_mouse_y,Airplane_mouse_leftButton,Airplane_mouse_midButton,Airplane_mouse_rightButton
17:42:59:517,17:43:8:531,17:43:23:505,17:43:23:514,space,16.550635,17:43:40:162,17:43:40:168,space,15.25041,17:43:55:450,17:43:56:479,,space,27.260995,17:44:23:765,members of a marching band crossing a track that all have feather plumes at the front of their hats,members of a marching band crossing a track with one player who has their feather plume at the back of their hat,0.30925939,-0.353703773,0,0,0,17:44:24:793,,space,39.48252,17:45:4:305,a cluttered and rustic looking cafe with 10 hanging lights,a cluttered and rustic looking cafe with 9 hanging lights,-0.162037026,-0.145370437,0,0,0,17:45:5:333,,space,8.62564,17:45:13:998,someone laying underneath a blue beach umbrella on a crowded beach,someone laying underneath a purple beach umbrella on a crowded beach,-0.162037026,-0.145370437,0,0,0,17:45:15:29,return,13.0259,17:45:28:63,17:45:29:93,,return,128.6808,17:47:37:828,a clean and bright living room without a sculpture on a pedastal that is next to the couh.,a clean and bright living room with a strange scultpture on a pedastal that is next to the couch.,-0.035185116,-0.443518533,0,0,0,0,0,0,1,1,A2Y5OIHVCAFT4P,31,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:47:38:854,,return,175.06563,17:50:33:968,a bright sunroom with a scenic view that has 17 potted plants inside around the jacuzzi.,a bright sunroom with a scenic view that has 16 potted plants inside around the jacuzzi.,0.462962983,-0.289814827,0,0,0,0,1,1,10,1,A2Y5OIHVCAFT4P,245,wolfe_123_L_pot-a_w_outline.jpg,wolfe_123_L_pot-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:50:34:996,,return,93.523425,17:52:8:558,a large stone bathroom that has a cabinet with one lower drawer,a large stone bathroom that has a cabinet with two lower drawers,0.447222242,-0.295370382,0,0,0,0,2,2,7,1,A2Y5OIHVCAFT4P,105,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:52:9:586,,return,77.865975,17:53:27:487,a modern patio with one light fixture on the wall.,a modern patio with two light fixtures on the wall,0.204629646,-0.271296308,0,0,0,0,3,3,2,1,A2Y5OIHVCAFT4P,37,wolfe_019_L_lamp_sized-a_w_outline.jpg,wolfe_019_L_lamp_sized-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:53:28:513,,return,103.988305,17:55:12:535,a red and cream bedroom with a desk that has six drawers,a red and cream bedroom with a desk that has seven drawers,0.22870372,-0.269444456,0,0,0,0,4,4,6,1,A2Y5OIHVCAFT4P,93,wolfe_047_L_handle-a_w_outline.jpg,wolfe_047_L_handle-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:55:13:558,,return,194.918335,17:58:28:527,"a brown, retro dining room without a long sculpture hanging on the wall","a brown, retro dining room with a long sculpture hanging on the wall",0.279629647,-0.275000068,0,0,0,0,5,5,5,1,A2Y5OIHVCAFT4P,75,wolfe_038_L_art-a_w_outline.jpg,wolfe_038_L_art-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17:58:29:553,,return,95.82498,18:0:5:429,a small hotel room with two wall outlets near the beds,a small hotel room with one wall outlet near the beds,0.529629651,-0.254629641,0,0,0,0,6,6,8,1,A2Y5OIHVCAFT4P,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:0:6:454,,return,96.192965,18:1:42:703,an open wooden bathroom with two stacks of towels under the sink.,an open wooden bathroom with one stack of towels under the sink,0.19907409,-0.270370438,0,0,0,0,7,7,3,1,A2Y5OIHVCAFT4P,47,wolfe_024_L_towels-a_w_outline.jpg,wolfe_024_L_towels-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:1:43:731,,return,106.727075,18:3:30:494,a large black and white living room with a small stool next to the windows,a large black and white living room without a small stool next to the windows,0.051851866,-0.330555624,0,0,0,0,8,8,11,1,A2Y5OIHVCAFT4P,249,wolfe_125_L_sofa-a_w_outline.jpg,wolfe_125_L_sofa-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:3:31:524,,return,66.086295,18:4:37:666,a brown bathroom with a small tear in the wall next to the mirror,a brown bathroom without a small tear in the wall next to the mirror,0.246296313,-0.239814826,0,0,0,0,9,9,9,1,A2Y5OIHVCAFT4P,205,wolfe_103_L_hook-a_w_outline.jpg,wolfe_103_L_hook-b_w_outline.jpg,24,A2Y5OIHVCAFT4P,2021-01-16_17h43.08.411,MetaAwareness,2020.1.2,Win32,60,3M47JKRKCY4DYEGR1FXHH192NNS68T,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,0SVT9,0SVT9,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,3TVSS0C0E23XCXLFLXQIUAZQE0LWTN,269469,269469,,,,,,,,,,,,,,,,,,,,,,,,
