consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,13.492415,space,28.812895,5,4.49675,5,1.53124,1,11.215675,0,0,0,10,1,A1B76WYZ47BQJ,80,wolfe_040_R_painting-a_w_outline.jpg,wolfe_040_R_painting-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,5,5.13723,0,1,1,5,1,A1B76WYZ47BQJ,52,wolfe_026_R_rack-a_w_outline.jpg,wolfe_026_R_rack-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,5,5.589755,0,2,2,25,1,A1B76WYZ47BQJ,218,wolfe_109_R_pillow-a_w_outline.jpg,wolfe_109_R_pillow-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,5,2.403215,0,3,3,2,1,A1B76WYZ47BQJ,10,wolfe_005_R_mirror-a_w_outline.jpg,wolfe_005_R_mirror-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,3,5.640075,0,4,4,12,1,A1B76WYZ47BQJ,100,wolfe_050_R_book-a_w_outline.jpg,wolfe_050_R_book-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,5,3.452485,0,5,5,14,1,A1B76WYZ47BQJ,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,5,3.80262,0,6,6,27,1,A1B76WYZ47BQJ,230,wolfe_115_R_pot-a_w_outline.jpg,wolfe_115_R_pot-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,2,5.60948,0,7,7,9,1,A1B76WYZ47BQJ,74,wolfe_037_R_towel-a_w_outline.jpg,wolfe_037_R_towel-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,1,4.30516,0,8,8,6,1,A1B76WYZ47BQJ,54,wolfe_027_R_soapdish-a_w_outline.jpg,wolfe_027_R_soapdish-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
,,,,,,,,1,2.53922,0,9,9,18,1,A1B76WYZ47BQJ,170,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,54,m,A1B76WYZ47BQJ,2020-12-08_16h23.16.136,MetaAwareness,2020.1.2,Win32,60,3SV8KD29L5VZHP23C9RV44BOLKIKZ0,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,EOP38,EOP38,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,33PPO7FECWI8UD5DAQMOOF8WSUJDIC,262738,262738,,,,
