consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.621115,space,169.138675,1,1.06659,4,1.304785,1,2.32674,0,0,0,12,1,A1F1H9O2RPLKG8,123,wolfe_062_L_flowers-a_w_outline.jpg,wolfe_062_L_flowers-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,1,2.523765,0,1,1,7,1,A1F1H9O2RPLKG8,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,2.895335,0,2,2,11,1,A1F1H9O2RPLKG8,113,wolfe_057_L_bin-a_w_outline.jpg,wolfe_057_L_bin-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,1,3.037985,0,3,3,1,1,A1F1H9O2RPLKG8,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,2.741545,0,4,4,3,1,A1F1H9O2RPLKG8,47,wolfe_024_L_towels-a_w_outline.jpg,wolfe_024_L_towels-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,1.80128,0,5,5,6,1,A1F1H9O2RPLKG8,73,wolfe_037_L_towel-a_w_outline.jpg,wolfe_037_L_towel-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.237255,0,6,6,20,1,A1F1H9O2RPLKG8,191,wolfe_096_L_painting-a_w_outline.jpg,wolfe_096_L_painting-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,1.879385,0,7,7,23,1,A1F1H9O2RPLKG8,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,1,1.458895,0,8,8,26,1,A1F1H9O2RPLKG8,237,wolfe_119_L_painting-a_w_outline.jpg,wolfe_119_L_painting-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,2.45645,0,9,9,10,1,A1F1H9O2RPLKG8,99,wolfe_050_L_book-a_w_outline.jpg,wolfe_050_L_book-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.793365,0,10,10,27,1,A1F1H9O2RPLKG8,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,1.707235,0,11,11,8,1,A1F1H9O2RPLKG8,79,wolfe_040_L_painting-a_w_outline.jpg,wolfe_040_L_painting-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.77731,0,12,12,24,1,A1F1H9O2RPLKG8,221,wolfe_111_L_pot-a_w_outline.jpg,wolfe_111_L_pot-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,1.71894,0,13,13,17,1,A1F1H9O2RPLKG8,155,wolfe_078_L_faucet-a_w_outline.jpg,wolfe_078_L_faucet-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,3,1.81192,0,14,14,29,1,A1F1H9O2RPLKG8,255,wolfe_128_L_pot-a_w_outline.jpg,wolfe_128_L_pot-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,1.894225,0,15,15,21,1,A1F1H9O2RPLKG8,199,wolfe_100_L_mirror-a_w_outline.jpg,wolfe_100_L_mirror-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.774305,0,16,16,22,1,A1F1H9O2RPLKG8,213,wolfe_107_L_shirts-a_w_outline.jpg,wolfe_107_L_shirts-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,1.707885,0,17,17,13,1,A1F1H9O2RPLKG8,137,wolfe_069_L_things-a_w_outline.jpg,wolfe_069_L_things-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.732435,0,18,18,28,1,A1F1H9O2RPLKG8,253,wolfe_127_L_light-a_w_outline.jpg,wolfe_127_L_light-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,2.058215,0,19,19,19,1,A1F1H9O2RPLKG8,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,1,1.695475,0,20,20,16,1,A1F1H9O2RPLKG8,151,wolfe_076_L_hook-a_w_outline.jpg,wolfe_076_L_hook-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,1.978565,0,21,21,5,1,A1F1H9O2RPLKG8,61,wolfe_031_L_log-a_w_outline.jpg,wolfe_031_L_log-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.707335,0,22,22,2,1,A1F1H9O2RPLKG8,39,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,3,1.38512,0,23,23,14,1,A1F1H9O2RPLKG8,145,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,1.3969,0,24,24,9,1,A1F1H9O2RPLKG8,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,1,1.236245,0,25,25,15,1,A1F1H9O2RPLKG8,149,wolfe_075_L_light-a_w_outline.jpg,wolfe_075_L_light-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,4,1.389475,0,26,26,25,1,A1F1H9O2RPLKG8,233,wolfe_117_L_plant_sized-a_w_outline.jpg,wolfe_117_L_plant_sized-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,2,1.58433,0,27,27,4,1,A1F1H9O2RPLKG8,55,wolfe_028_L_vase-a_w_outline.jpg,wolfe_028_L_vase-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,3,1.616525,0,28,28,0,1,A1F1H9O2RPLKG8,3,wolfe_002_L_napkin-a_w_outline.jpg,wolfe_002_L_napkin-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,5,1.890885,0,29,29,18,1,A1F1H9O2RPLKG8,167,wolfe_084_L_light-a_w_outline.jpg,wolfe_084_L_light-b_w_outline.jpg,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,,,,
,,,,,,,,,,,,,,,A1F1H9O2RPLKG8,,,,31,male,A1F1H9O2RPLKG8,2020-12-11_13h46.06.468,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,G3AV5,G3AV5,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,3VAR3R6G1Q4694KPRDODMKQHTMB8O6,263495,263495,1,0.63589,4,0.96113
