consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,3.779865,space,10.97869,5,2.994185,4,2.94865,1,5.16166,0,0,0,19,1,A1J8TVICSRC70W,178,wolfe_089_R_poster-a_w_outline.jpg,wolfe_089_R_poster-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,2,3.75189,0,1,1,2,1,A1J8TVICSRC70W,14,wolfe_007_R_soap-a_w_outline.jpg,wolfe_007_R_soap-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,1,3.518125,0,2,2,20,1,A1J8TVICSRC70W,190,wolfe_095_R_candle-a_w_outline.jpg,wolfe_095_R_candle-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,2,3.11426,0,3,3,17,1,A1J8TVICSRC70W,152,wolfe_076_R_hook-a_w_outline.jpg,wolfe_076_R_hook-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,1,2.601845,0,4,4,11,1,A1J8TVICSRC70W,94,wolfe_047_R_handle-a_w_outline.jpg,wolfe_047_R_handle-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,1,2.584275,0,5,5,5,1,A1J8TVICSRC70W,24,wolfe_012_R_tubaccesory-a_w_outline.jpg,wolfe_012_R_tubaccesory-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,2,3.39938,0,6,6,24,1,A1J8TVICSRC70W,228,wolfe_114_R_bird-a_w_outline.jpg,wolfe_114_R_bird-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,2,2.8838,0,7,7,7,1,A1J8TVICSRC70W,32,wolfe_016_R_art-a_w_outline.jpg,wolfe_016_R_art-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,4,4.382995,0,8,8,3,1,A1J8TVICSRC70W,18,wolfe_009_R_carpet-a_w_outline.jpg,wolfe_009_R_carpet-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
,,,,,,,,2,3.217935,0,9,9,13,1,A1J8TVICSRC70W,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,28,f,A1J8TVICSRC70W,2020-12-08_16h50.31.514,MetaAwareness,2020.1.2,Win32,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,J8M78,J8M78,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,37M28K1J0RG6RHM78YGMAFFQK7TAJ3,262738,262738,,,,
