consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,14.992,space,25.222,5,3.623,5,2.033,2,8.41,0,0,0,12,1,A1LSGYXKP6O1B8,90,wolfe_045_R_musicdock-a_w_outline.jpg,wolfe_045_R_musicdock-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,1,22.228,0,1,1,0,1,A1LSGYXKP6O1B8,24,wolfe_012_R_tubaccesory-a_w_outline.jpg,wolfe_012_R_tubaccesory-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,1,4.02,0,2,2,9,1,A1LSGYXKP6O1B8,72,wolfe_036_R_bowl-a_w_outline.jpg,wolfe_036_R_bowl-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,4,4.82,0,3,3,29,1,A1LSGYXKP6O1B8,256,wolfe_128_R_pot-a_w_outline.jpg,wolfe_128_R_pot-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,1,3.904,0,4,4,18,1,A1LSGYXKP6O1B8,172,wolfe_086_R_book-a_w_outline.jpg,wolfe_086_R_book-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,4,4.126,0,5,5,27,1,A1LSGYXKP6O1B8,238,wolfe_119_R_painting-a_w_outline.jpg,wolfe_119_R_painting-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,3,4.049,0,6,6,5,1,A1LSGYXKP6O1B8,48,wolfe_024_R_towels-a_w_outline.jpg,wolfe_024_R_towels-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,3,3.492,0,7,7,25,1,A1LSGYXKP6O1B8,224,wolfe_112_R_basket-a_w_outline.jpg,wolfe_112_R_basket-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,3,4.929,0,8,8,23,1,A1LSGYXKP6O1B8,212,wolfe_106_R_toweldispenser-a_w_outline.jpg,wolfe_106_R_toweldispenser-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
,,,,,,,,4,3.624,0,9,9,2,1,A1LSGYXKP6O1B8,28,wolfe_014_R_lamp-a_w_outline.jpg,wolfe_014_R_lamp-b_w_outline.jpg,35,m,A1LSGYXKP6O1B8,2020-12-08_14h18.45.108,MetaAwareness,2020.1.2,MacIntel,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3B837J3LDPZRP1REX3BMX6VNGTJSRW,L78B8,L78B8,3B837J3LDPZRP1REX3BMX6VNGTJSRW,3B837J3LDPZRP1REX3BMX6VNGTJSRW,262738,262738,,,,
