consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,44.959375,space,24.411185,5,3.25666,5,1.7593,2,7.465035,0,0,0,17,1,A1PF01FF85HUY4,165,wolfe_083_L_knob-a_w_outline.jpg,wolfe_083_L_knob-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,1,3.773945,0,1,1,15,1,A1PF01FF85HUY4,145,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,3,3.77119,0,2,2,25,1,A1PF01FF85HUY4,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,4,5.60061,0,3,3,0,1,A1PF01FF85HUY4,7,wolfe_004_L_electricalgrid-a_w_outline.jpg,wolfe_004_L_electricalgrid-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,4,3.87494,0,4,4,7,1,A1PF01FF85HUY4,97,wolfe_049_L_painting-a_w_outline.jpg,wolfe_049_L_painting-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,1,3.573495,0,5,5,21,1,A1PF01FF85HUY4,175,wolfe_088_L_clock-a_w_outline.jpg,wolfe_088_L_clock-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,2,3.8447,0,6,6,9,1,A1PF01FF85HUY4,115,wolfe_058_L_clutch-a_w_outline.jpg,wolfe_058_L_clutch-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,3,3.722245,0,7,7,12,1,A1PF01FF85HUY4,133,wolfe_067_L_painting-a_w_outline.jpg,wolfe_067_L_painting-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,1,5.61144,0,8,8,19,1,A1PF01FF85HUY4,171,wolfe_086_L_book-a_w_outline.jpg,wolfe_086_L_book-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
,,,,,,,,2,3.866325,0,9,9,28,1,A1PF01FF85HUY4,241,wolfe_121_L_car-a_w_outline.jpg,wolfe_121_L_car-b_w_outline.jpg,36,m,A1PF01FF85HUY4,2020-12-08_18h52.11.516,MetaAwareness,2020.1.2,Linux x86_64,60,3G3AJKPCXMVEYX3VVV2WJGDQI4RY40,3X66WABAJXLWGUXLRDG9QU94M5K3GW,AW6X8,AW6X8,3X66WABAJXLWGUXLRDG9QU94M5K3GW,3X66WABAJXLWGUXLRDG9QU94M5K3GW,262738,262738,,,,
