consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.891,space,0.505,5,26.337,5,8.294,3,5.405,0,0,0,19,1,A1T0S48O0CMXBC,156,wolfe_078_R_faucet-a_w_outline.jpg,wolfe_078_R_faucet-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,2,3.972,0,1,1,26,1,A1T0S48O0CMXBC,224,wolfe_112_R_basket-a_w_outline.jpg,wolfe_112_R_basket-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,1,4.821,0,2,2,6,1,A1T0S48O0CMXBC,72,wolfe_036_R_bowl-a_w_outline.jpg,wolfe_036_R_bowl-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,1,4.643,0,3,3,16,1,A1T0S48O0CMXBC,126,wolfe_063_R_laptop-a_w_outline.jpg,wolfe_063_R_laptop-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,2,4.56,0,4,4,4,1,A1T0S48O0CMXBC,42,wolfe_021_R_keyboard-a_w_outline.jpg,wolfe_021_R_keyboard-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,1,3.615,0,5,5,20,1,A1T0S48O0CMXBC,158,wolfe_079_R_bowl-a_w_outline.jpg,wolfe_079_R_bowl-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,1,5.956,0,6,6,10,1,A1T0S48O0CMXBC,94,wolfe_047_R_handle-a_w_outline.jpg,wolfe_047_R_handle-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,1,3.393,0,7,7,17,1,A1T0S48O0CMXBC,144,wolfe_072_R_handle-a_w_outline.jpg,wolfe_072_R_handle-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,4,4.412,0,8,8,12,1,A1T0S48O0CMXBC,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
,,,,,,,,2,4.609,0,9,9,29,1,A1T0S48O0CMXBC,240,wolfe_120_R_art-a_w_outline.jpg,wolfe_120_R_art-b_w_outline.jpg,27,m,A1T0S48O0CMXBC,2020-12-09_07h39.50.926,MetaAwareness,2020.1.2,Win32,60,3RWSQDNYLAPIWMJPAM6RLZ311KQFFQ,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,CEEF8,CEEF8,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,3FE2ERCCZYBRFWJ6DUQO86L7IOOOP3,262738,262738,,,,
