consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,7.891,space,26.675,5,7.349,3,8.729,1,15.216,0,0,0,15,1,A1YQPMQQB1IS1Q,79,wolfe_040_L_painting-a_w_outline.jpg,wolfe_040_L_painting-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,4,7.103,0,1,1,4,1,A1YQPMQQB1IS1Q,21,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,5,5.33,0,2,2,24,1,A1YQPMQQB1IS1Q,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,4,7.047,0,3,3,21,1,A1YQPMQQB1IS1Q,189,wolfe_095_L_candle-a_w_outline.jpg,wolfe_095_L_candle-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,5,6.003,0,4,4,17,1,A1YQPMQQB1IS1Q,107,wolfe_054_L_firewood-a_w_outline.jpg,wolfe_054_L_firewood-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,3,6.992,0,5,5,29,1,A1YQPMQQB1IS1Q,255,wolfe_128_L_pot-a_w_outline.jpg,wolfe_128_L_pot-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,5,7.871,0,6,6,9,1,A1YQPMQQB1IS1Q,43,wolfe_022_L_lamp-a_w_outline.jpg,wolfe_022_L_lamp-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,4,5.172,0,7,7,10,1,A1YQPMQQB1IS1Q,59,wolfe_030_L_drawer-a_w_outline.jpg,wolfe_030_L_drawer-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,3,4.109,0,8,8,23,1,A1YQPMQQB1IS1Q,213,wolfe_107_L_shirts-a_w_outline.jpg,wolfe_107_L_shirts-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,4,4.692,0,9,9,13,1,A1YQPMQQB1IS1Q,67,wolfe_034_L_handle-a_w_outline.jpg,wolfe_034_L_handle-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,5,4.786,0,10,10,0,1,A1YQPMQQB1IS1Q,3,wolfe_002_L_napkin-a_w_outline.jpg,wolfe_002_L_napkin-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
,,,,,,,,4,4.444,0,11,11,27,1,A1YQPMQQB1IS1Q,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,32,m,A1YQPMQQB1IS1Q,2020-12-11_13h46.48.001,MetaAwareness,2020.1.2,Win32,60,3Y3N5A7N4HCU2NS11Z2S5AUQ4Y8YMX,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,3RRCEFRB7NFL798EB5TEZOADK1WB4Y,263495,263495,,,,
