consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,35.11511,space,30.56336,5,5.66747,5,2.10997,2,6.752335,0,0,0,12,1,A1YZ0ETOCJO1B2,69,wolfe_035_L_fruit-a_w_outline.jpg,wolfe_035_L_fruit-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,4,5.5679,0,1,1,25,1,A1YZ0ETOCJO1B2,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,1,11.21147,0,2,2,4,1,A1YZ0ETOCJO1B2,29,wolfe_015_L_ceilinglight-a_w_outline.jpg,wolfe_015_L_ceilinglight-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,2,5.052655,0,3,3,7,1,A1YZ0ETOCJO1B2,53,wolfe_027_L_soapdish-a_w_outline.jpg,wolfe_027_L_soapdish-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,4,7.22745,0,4,4,15,1,A1YZ0ETOCJO1B2,123,wolfe_062_L_flowers-a_w_outline.jpg,wolfe_062_L_flowers-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,4,6.05746,0,5,5,28,1,A1YZ0ETOCJO1B2,223,wolfe_112_L_basket-a_w_outline.jpg,wolfe_112_L_basket-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,5,5.74493,0,6,6,0,1,A1YZ0ETOCJO1B2,1,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,4,4.369455,0,7,7,14,1,A1YZ0ETOCJO1B2,109,wolfe_055_L_carpet-a_w_outline.jpg,wolfe_055_L_carpet-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,4,4.999145,0,8,8,8,1,A1YZ0ETOCJO1B2,57,wolfe_029_L_glass-a_w_outline.jpg,wolfe_029_L_glass-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
,,,,,,,,5,5.02772,0,9,9,11,1,A1YZ0ETOCJO1B2,67,wolfe_034_L_handle-a_w_outline.jpg,wolfe_034_L_handle-b_w_outline.jpg,36,m,A1YZ0ETOCJO1B2,2020-12-08_09h36.17.902,MetaAwareness,2020.1.2,Win32,60,3HEA4ZVWVEPYSSXBYYG9DBLBNV855M,37TRT2X24RUBARRZECGI5QZW2NTJBI,2TT79,2TT79,37TRT2X24RUBARRZECGI5QZW2NTJBI,37TRT2X24RUBARRZECGI5QZW2NTJBI,262619,262619,,,,
