consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,6.07611,space,24.20199,5,2.496495,5,2.439175,3,4.0745,0,0,0,29,1,A1ZT30BGR3266K,251,wolfe_126_L_candles-a_w_outline.jpg,wolfe_126_L_candles-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,4,5.140885,0,1,1,26,1,A1ZT30BGR3266K,239,wolfe_120_L_art-a_w_outline.jpg,wolfe_120_L_art-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,4.608075,0,2,2,14,1,A1ZT30BGR3266K,161,wolfe_081_L_football-a_w_outline.jpg,wolfe_081_L_football-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,1,4.45761,0,3,3,13,1,A1ZT30BGR3266K,145,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,4,3.60613,0,4,4,22,1,A1ZT30BGR3266K,203,wolfe_102_L_shoppingbag-a_w_outline.jpg,wolfe_102_L_shoppingbag-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,5.84632,0,5,5,18,1,A1ZT30BGR3266K,181,wolfe_091_L_airfreshener-a_w_outline.jpg,wolfe_091_L_airfreshener-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,5,3.52113,0,6,6,25,1,A1ZT30BGR3266K,233,wolfe_117_L_plant_sized-a_w_outline.jpg,wolfe_117_L_plant_sized-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,4.1677,0,7,7,23,1,A1ZT30BGR3266K,207,wolfe_104_L_bottle-a_w_outline.jpg,wolfe_104_L_bottle-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,3,5.02236,0,8,8,11,1,A1ZT30BGR3266K,127,wolfe_064_L_bottles-a_w_outline.jpg,wolfe_064_L_bottles-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,4.691535,0,9,9,17,1,A1ZT30BGR3266K,177,wolfe_089_L_poster-a_w_outline.jpg,wolfe_089_L_poster-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,1,4.601265,0,10,10,7,1,A1ZT30BGR3266K,105,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,3.60839,0,11,11,20,1,A1ZT30BGR3266K,191,wolfe_096_L_painting-a_w_outline.jpg,wolfe_096_L_painting-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,3,3.723525,0,12,12,10,1,A1ZT30BGR3266K,119,wolfe_060_L_pillow-a_w_outline.jpg,wolfe_060_L_pillow-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,4,3.157455,0,13,13,16,1,A1ZT30BGR3266K,173,wolfe_087_L_towelhandle-a_w_outline.jpg,wolfe_087_L_towelhandle-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,2,4.361705,0,14,14,28,1,A1ZT30BGR3266K,249,wolfe_125_L_sofa-a_w_outline.jpg,wolfe_125_L_sofa-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
,,,,,,,,4,3.52958,0,15,15,6,1,A1ZT30BGR3266K,97,wolfe_049_L_painting-a_w_outline.jpg,wolfe_049_L_painting-b_w_outline.jpg,36,f,A1ZT30BGR3266K,2020-12-08_20h16.45.079,MetaAwareness,2020.1.2,Win32,60,30Y6N4AHYQZI1SA2ABBVEOEZSU7DRS,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,BC0M8,BC0M8,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,3M0BCWMB8WZXGBRYLBZXUGT44LVBW2,262738,262738,,,,
