consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,6.80495,space,39.498165,5,8.99045,5,2.30957,3,8.33618,0,0,0,28,1,A269MCW9TB4WTQ,251,wolfe_126_L_candles-a_w_outline.jpg,wolfe_126_L_candles-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,2,4.942855,0,1,1,21,1,A269MCW9TB4WTQ,151,wolfe_076_L_hook-a_w_outline.jpg,wolfe_076_L_hook-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,5.17557,0,2,2,17,1,A269MCW9TB4WTQ,117,wolfe_059_L_car-a_w_outline.jpg,wolfe_059_L_car-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,3.243705,0,3,3,9,1,A269MCW9TB4WTQ,71,wolfe_036_L_bowl-a_w_outline.jpg,wolfe_036_L_bowl-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,2,4.39428,0,4,4,0,1,A269MCW9TB4WTQ,13,wolfe_007_L_soap-a_w_outline.jpg,wolfe_007_L_soap-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,2.99687,0,5,5,29,1,A269MCW9TB4WTQ,253,wolfe_127_L_light-a_w_outline.jpg,wolfe_127_L_light-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,3,4.341755,0,6,6,12,1,A269MCW9TB4WTQ,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,4,4.097735,0,7,7,10,1,A269MCW9TB4WTQ,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,3.14686,0,8,8,26,1,A269MCW9TB4WTQ,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,5.294015,0,9,9,24,1,A269MCW9TB4WTQ,209,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,7.72827,0,10,10,15,1,A269MCW9TB4WTQ,105,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,3,4.57901,0,11,11,18,1,A269MCW9TB4WTQ,135,wolfe_068_L_faucet-a_w_outline.jpg,wolfe_068_L_faucet-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,5.123055,0,12,12,16,1,A269MCW9TB4WTQ,109,wolfe_055_L_carpet-a_w_outline.jpg,wolfe_055_L_carpet-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,5,5.1513,0,13,13,3,1,A269MCW9TB4WTQ,43,wolfe_022_L_lamp-a_w_outline.jpg,wolfe_022_L_lamp-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,2.39399,0,14,14,5,1,A269MCW9TB4WTQ,53,wolfe_027_L_soapdish-a_w_outline.jpg,wolfe_027_L_soapdish-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,2.640875,0,15,15,19,1,A269MCW9TB4WTQ,143,wolfe_072_L_handle-a_w_outline.jpg,wolfe_072_L_handle-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,1,3.21214,0,16,16,22,1,A269MCW9TB4WTQ,163,wolfe_082_L_bowl-a_w_outline.jpg,wolfe_082_L_bowl-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
,,,,,,,,3,4.09527,0,17,17,6,1,A269MCW9TB4WTQ,55,wolfe_028_L_vase-a_w_outline.jpg,wolfe_028_L_vase-b_w_outline.jpg,46,FEMALE,A269MCW9TB4WTQ,2020-12-08_18h49.23.501,MetaAwareness,2020.1.2,Win32,60,3M4KL7H8KWQVNEW62UO22RMU7AP16R,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,I7OY8,I7OY8,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,3YOH7BII0AALUPVN1E7U7HTGK6QKV9,262738,262738,,,,
