consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,54.78728,space,3.164095,5,37.20197,4,22.491305,4,14.19152,0,0,0,19,1,A2HMQE0UEJFMR4,189,wolfe_095_L_candle-a_w_outline.jpg,wolfe_095_L_candle-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,3,14.86226,0,1,1,20,1,A2HMQE0UEJFMR4,193,wolfe_097_L_light-a_w_outline.jpg,wolfe_097_L_light-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,4,8.488075,0,2,2,5,1,A2HMQE0UEJFMR4,63,wolfe_032_L_bottle-a_w_outline.jpg,wolfe_032_L_bottle-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,2,4.4683,0,3,3,18,1,A2HMQE0UEJFMR4,183,wolfe_092_L_candles-a_w_outline.jpg,wolfe_092_L_candles-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,5,7.111315,0,4,4,14,1,A2HMQE0UEJFMR4,165,wolfe_083_L_knob-a_w_outline.jpg,wolfe_083_L_knob-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,3,4.0498,0,5,5,6,1,A2HMQE0UEJFMR4,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,4,4.45143,0,6,6,27,1,A2HMQE0UEJFMR4,235,wolfe_118_L_shoes-a_w_outline.jpg,wolfe_118_L_shoes-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,4,5.37466,0,7,7,16,1,A2HMQE0UEJFMR4,173,wolfe_087_L_towelhandle-a_w_outline.jpg,wolfe_087_L_towelhandle-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,4,5.84735,0,8,8,10,1,A2HMQE0UEJFMR4,119,wolfe_060_L_pillow-a_w_outline.jpg,wolfe_060_L_pillow-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
,,,,,,,,3,4.93573,0,9,9,23,1,A2HMQE0UEJFMR4,213,wolfe_107_L_shirts-a_w_outline.jpg,wolfe_107_L_shirts-b_w_outline.jpg,50,female,A2HMQE0UEJFMR4,2020-12-09_10h38.50.914,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3GS6S824SR0ZHKGVO146LBTYLBPNWL,4SSG8,4SSG8,3GS6S824SR0ZHKGVO146LBTYLBPNWL,3GS6S824SR0ZHKGVO146LBTYLBPNWL,262738,262738,,,,
