consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,13.722955,space,20.885145,5,3.51963,4,6.147775,2,6.394745,0,0,0,24,1,A2LMREAO2XRLTM,219,wolfe_110_L_plant-a_w_outline.jpg,wolfe_110_L_plant-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,2.1594,0,1,1,6,1,A2LMREAO2XRLTM,69,wolfe_035_L_fruit-a_w_outline.jpg,wolfe_035_L_fruit-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,1,3.005765,0,2,2,21,1,A2LMREAO2XRLTM,169,wolfe_085_L_switchboard-a_w_outline.jpg,wolfe_085_L_switchboard-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,1,2.78579,0,3,3,10,1,A2LMREAO2XRLTM,87,wolfe_044_L_light-a_w_outline.jpg,wolfe_044_L_light-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,3.08646,0,4,4,27,1,A2LMREAO2XRLTM,245,wolfe_123_L_pot-a_w_outline.jpg,wolfe_123_L_pot-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,1,3.07926,0,5,5,22,1,A2LMREAO2XRLTM,201,wolfe_101_L_cup-a_w_outline.jpg,wolfe_101_L_cup-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.43364,0,6,6,5,1,A2LMREAO2XRLTM,65,wolfe_033_L_vase-a_w_outline.jpg,wolfe_033_L_vase-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,3,2.266805,0,7,7,18,1,A2LMREAO2XRLTM,151,wolfe_076_L_hook-a_w_outline.jpg,wolfe_076_L_hook-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.297355,0,8,8,9,1,A2LMREAO2XRLTM,81,wolfe_041_L_fruit-a_w_outline.jpg,wolfe_041_L_fruit-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,5,2.595295,0,9,9,14,1,A2LMREAO2XRLTM,101,wolfe_051_L_owl-a_w_outline.jpg,wolfe_051_L_owl-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.333985,0,10,10,25,1,A2LMREAO2XRLTM,221,wolfe_111_L_pot-a_w_outline.jpg,wolfe_111_L_pot-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,4,1.360765,0,11,11,7,1,A2LMREAO2XRLTM,71,wolfe_036_L_bowl-a_w_outline.jpg,wolfe_036_L_bowl-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.259305,0,12,12,0,1,A2LMREAO2XRLTM,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.236935,0,13,13,1,1,A2LMREAO2XRLTM,15,wolfe_008_L_bottle-a_w_outline.jpg,wolfe_008_L_bottle-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,4,1.225225,0,14,14,29,1,A2LMREAO2XRLTM,255,wolfe_128_L_pot-a_w_outline.jpg,wolfe_128_L_pot-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.18775,0,15,15,26,1,A2LMREAO2XRLTM,241,wolfe_121_L_car-a_w_outline.jpg,wolfe_121_L_car-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,1,1.20535,0,16,16,4,1,A2LMREAO2XRLTM,59,wolfe_030_L_drawer-a_w_outline.jpg,wolfe_030_L_drawer-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,3,1.393535,0,17,17,16,1,A2LMREAO2XRLTM,133,wolfe_067_L_painting-a_w_outline.jpg,wolfe_067_L_painting-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,3,1.2092,0,18,18,17,1,A2LMREAO2XRLTM,145,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,1.136075,0,19,19,28,1,A2LMREAO2XRLTM,253,wolfe_127_L_light-a_w_outline.jpg,wolfe_127_L_light-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,3,1.09049,0,20,20,3,1,A2LMREAO2XRLTM,49,wolfe_025_L_vase-a_w_outline.jpg,wolfe_025_L_vase-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
,,,,,,,,2,0.6001,0,21,21,13,1,A2LMREAO2XRLTM,99,wolfe_050_L_book-a_w_outline.jpg,wolfe_050_L_book-b_w_outline.jpg,24,m,A2LMREAO2XRLTM,2020-12-09_12h17.13.879,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,5LBM8,5LBM8,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,3MB8LZR5BGWIYKJTNA5OK8VET9MLKR,262738,262738,,,,
