consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,9.210265,space,46.796155,3,7.619295,3,8.64369,1,8.46351,0,0,0,11,1,A2Z4TD1NOBHEGR,90,wolfe_045_R_musicdock-a_w_outline.jpg,wolfe_045_R_musicdock-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,2.251995,0,1,1,15,1,A2Z4TD1NOBHEGR,120,wolfe_060_R_pillow-a_w_outline.jpg,wolfe_060_R_pillow-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,2.989115,0,2,2,24,1,A2Z4TD1NOBHEGR,218,wolfe_109_R_pillow-a_w_outline.jpg,wolfe_109_R_pillow-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,2.419175,0,3,3,12,1,A2Z4TD1NOBHEGR,100,wolfe_050_R_book-a_w_outline.jpg,wolfe_050_R_book-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,2,3.67411,0,4,4,10,1,A2Z4TD1NOBHEGR,80,wolfe_040_R_painting-a_w_outline.jpg,wolfe_040_R_painting-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,5,4.48755,0,5,5,0,1,A2Z4TD1NOBHEGR,18,wolfe_009_R_carpet-a_w_outline.jpg,wolfe_009_R_carpet-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,4.13773,0,6,6,2,1,A2Z4TD1NOBHEGR,24,wolfe_012_R_tubaccesory-a_w_outline.jpg,wolfe_012_R_tubaccesory-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,3,3.66913,0,7,7,4,1,A2Z4TD1NOBHEGR,38,wolfe_019_R_lamp_sized-a_w_outline.jpg,wolfe_019_R_lamp_sized-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,2.15357,0,8,8,8,1,A2Z4TD1NOBHEGR,74,wolfe_037_R_towel-a_w_outline.jpg,wolfe_037_R_towel-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,3,2.719175,0,9,9,25,1,A2Z4TD1NOBHEGR,226,wolfe_113_R_plant-a_w_outline.jpg,wolfe_113_R_plant-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,3,3.176745,0,10,10,5,1,A2Z4TD1NOBHEGR,46,wolfe_023_R_remote-a_w_outline.jpg,wolfe_023_R_remote-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,1.87068,0,11,11,21,1,A2Z4TD1NOBHEGR,170,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,1,1.754205,0,12,12,16,1,A2Z4TD1NOBHEGR,126,wolfe_063_R_laptop-a_w_outline.jpg,wolfe_063_R_laptop-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,2,2.33715,0,13,13,6,1,A2Z4TD1NOBHEGR,64,wolfe_032_R_bottle-a_w_outline.jpg,wolfe_032_R_bottle-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,2,2.72713,0,14,14,18,1,A2Z4TD1NOBHEGR,150,wolfe_075_R_light-a_w_outline.jpg,wolfe_075_R_light-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,4,5.81532,0,15,15,23,1,A2Z4TD1NOBHEGR,204,wolfe_102_R_shoppingbag-a_w_outline.jpg,wolfe_102_R_shoppingbag-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,3,2.50918,0,16,16,29,1,A2Z4TD1NOBHEGR,256,wolfe_128_R_pot-a_w_outline.jpg,wolfe_128_R_pot-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,3,3.535825,0,17,17,14,1,A2Z4TD1NOBHEGR,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
,,,,,,,,2,2.919925,0,18,18,17,1,A2Z4TD1NOBHEGR,148,wolfe_074_R_book-a_w_outline.jpg,wolfe_074_R_book-b_w_outline.jpg,23,m,A2Z4TD1NOBHEGR,2020-12-10_09h32.13.927,MetaAwareness,2020.1.2,Win32,60,3MZ3TAMYTMQZ93QO2PC65LUCK1SRIP,39N5ACM9HFQO89F0B576BGQINTY9PE,9AN99,9AN99,39N5ACM9HFQO89F0B576BGQINTY9PE,39N5ACM9HFQO89F0B576BGQINTY9PE,263099,263099,,,,
