consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,7.382999999,space,14.424,5,10.143,5,0.930000001,4,2.744000001,0,0,0,28,1,A31TZL82Q6JNSF,246,wolfe_123_R_pot-a_w_outline.jpg,wolfe_123_R_pot-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,1.918,0,1,1,26,1,A31TZL82Q6JNSF,222,wolfe_111_R_pot-a_w_outline.jpg,wolfe_111_R_pot-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,2.235,0,2,2,2,1,A31TZL82Q6JNSF,30,wolfe_015_R_ceilinglight-a_w_outline.jpg,wolfe_015_R_ceilinglight-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,4,2.088,0,3,3,18,1,A31TZL82Q6JNSF,150,wolfe_075_R_light-a_w_outline.jpg,wolfe_075_R_light-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,1.992,0,4,4,11,1,A31TZL82Q6JNSF,116,wolfe_058_R_clutch-a_w_outline.jpg,wolfe_058_R_clutch-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,1.898,0,5,5,15,1,A31TZL82Q6JNSF,136,wolfe_068_R_faucet-a_w_outline.jpg,wolfe_068_R_faucet-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,2.263,0,6,6,21,1,A31TZL82Q6JNSF,182,wolfe_091_R_airfreshener-a_w_outline.jpg,wolfe_091_R_airfreshener-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,4,1.723,0,7,7,8,1,A31TZL82Q6JNSF,92,wolfe_046_R_remote-a_w_outline.jpg,wolfe_046_R_remote-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,2.994,0,8,8,19,1,A31TZL82Q6JNSF,168,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
,,,,,,,,5,5.402,0,9,9,0,1,A31TZL82Q6JNSF,2,wolfe_001_R_mirror-a_w_outline.jpg,wolfe_001_R_mirror-b_w_outline.jpg,45 ,male,A31TZL82Q6JNSF,2020-12-11_09h59.03.778,MetaAwareness,2020.1.2,Win32,60,39N6W9XWREQUADWFQW4XS5AT8CNYGG,3RRCEFRB7NFL798EB5TEZOADK07B47,BERR5,BERR5,3RRCEFRB7NFL798EB5TEZOADK07B47,3RRCEFRB7NFL798EB5TEZOADK07B47,263495,263495,,,,
