consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,62.91256,space,18.26003,5,14.87932,5,5.275815,2,4.0993,0,0,0,26,1,A33D6XFZHIRXMM,233,wolfe_117_L_plant_sized-a_w_outline.jpg,wolfe_117_L_plant_sized-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,4.15872,0,1,1,2,1,A33D6XFZHIRXMM,25,wolfe_013_L_lamp-a_w_outline.jpg,wolfe_013_L_lamp-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,6.46729,0,2,2,16,1,A33D6XFZHIRXMM,143,wolfe_072_L_handle-a_w_outline.jpg,wolfe_072_L_handle-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,2.15237,0,3,3,29,1,A33D6XFZHIRXMM,255,wolfe_128_L_pot-a_w_outline.jpg,wolfe_128_L_pot-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,3.158895,0,4,4,27,1,A33D6XFZHIRXMM,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,2,3.05793,0,5,5,7,1,A33D6XFZHIRXMM,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,2.589015,0,6,6,0,1,A33D6XFZHIRXMM,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,2.3057,0,7,7,23,1,A33D6XFZHIRXMM,215,wolfe_108_L_boa-a_w_outline.jpg,wolfe_108_L_boa-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,2.895725,0,8,8,11,1,A33D6XFZHIRXMM,123,wolfe_062_L_flowers-a_w_outline.jpg,wolfe_062_L_flowers-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
,,,,,,,,1,2.84896,0,9,9,6,1,A33D6XFZHIRXMM,65,wolfe_033_L_vase-a_w_outline.jpg,wolfe_033_L_vase-b_w_outline.jpg,25,f,A33D6XFZHIRXMM,2020-12-08_14h22.17.200,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3OS46CRSLG2EVAAYZADTXYOYJAZV66,S6SO8,S6SO8,3OS46CRSLG2EVAAYZADTXYOYJAZV66,3OS46CRSLG2EVAAYZADTXYOYJAZV66,262738,262738,,,,
