consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,30.73437,space,20.452215,5,4.778235,5,1.589205,5,3.81967,0,0,0,0,1,A37MKXCABVF38S,10,wolfe_005_R_mirror-a_w_outline.jpg,wolfe_005_R_mirror-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,3,5.058955,0,1,1,23,1,A37MKXCABVF38S,218,wolfe_109_R_pillow-a_w_outline.jpg,wolfe_109_R_pillow-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,4,6.56795,0,2,2,22,1,A37MKXCABVF38S,216,wolfe_108_R_boa-a_w_outline.jpg,wolfe_108_R_boa-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,2,3.713585,0,3,3,27,1,A37MKXCABVF38S,234,wolfe_117_R_plant_sized-a_w_outline.jpg,wolfe_117_R_plant_sized-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,1,2.9318,0,4,4,19,1,A37MKXCABVF38S,184,wolfe_092_R_candles-a_w_outline.jpg,wolfe_092_R_candles-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,4,4.69359,0,5,5,1,1,A37MKXCABVF38S,28,wolfe_014_R_lamp-a_w_outline.jpg,wolfe_014_R_lamp-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,1,10.53286,0,6,6,21,1,A37MKXCABVF38S,202,wolfe_101_R_cup-a_w_outline.jpg,wolfe_101_R_cup-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,3,4.992085,0,7,7,2,1,A37MKXCABVF38S,32,wolfe_016_R_art-a_w_outline.jpg,wolfe_016_R_art-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,1,3.23638,0,8,8,25,1,A37MKXCABVF38S,228,wolfe_114_R_bird-a_w_outline.jpg,wolfe_114_R_bird-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
,,,,,,,,2,4.799815,0,9,9,18,1,A37MKXCABVF38S,160,wolfe_080_R_plant-a_w_outline.jpg,wolfe_080_R_plant-b_w_outline.jpg,38,f,A37MKXCABVF38S,2020-12-09_12h07.56.364,MetaAwareness,2020.1.2,Win32,60,35YHTYFL1H67SJ5FA1BV3L6NPEFVFV,37UEWGM5HUBRVHSKKKW2158EQVBR1K,5WU78,5WU78,37UEWGM5HUBRVHSKKKW2158EQVBR1K,37UEWGM5HUBRVHSKKKW2158EQVBR1K,262738,262738,,,,
