consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,62.378935,space,0.12452,5,8.669615,4,10.381315,4,4.99548,0,0,0,11,1,A3CJS37DSXQOAZ,112,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,9.18681,0,1,1,27,1,A3CJS37DSXQOAZ,232,wolfe_116_R_basket-a_w_outline.jpg,wolfe_116_R_basket-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,8.528285,0,2,2,13,1,A3CJS37DSXQOAZ,136,wolfe_068_R_faucet-a_w_outline.jpg,wolfe_068_R_faucet-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,6.73371,0,3,3,7,1,A3CJS37DSXQOAZ,58,wolfe_029_R_glass-a_w_outline.jpg,wolfe_029_R_glass-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,3.54678,0,4,4,19,1,A3CJS37DSXQOAZ,176,wolfe_088_R_clock-a_w_outline.jpg,wolfe_088_R_clock-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,8.120745,0,5,5,4,1,A3CJS37DSXQOAZ,48,wolfe_024_R_towels-a_w_outline.jpg,wolfe_024_R_towels-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,1,4.40036,0,6,6,20,1,A3CJS37DSXQOAZ,182,wolfe_091_R_airfreshener-a_w_outline.jpg,wolfe_091_R_airfreshener-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,2,2.925905,0,7,7,17,1,A3CJS37DSXQOAZ,168,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,4,5.52965,0,8,8,0,1,A3CJS37DSXQOAZ,6,wolfe_003_R_ducks-a_w_outline.jpg,wolfe_003_R_ducks-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
,,,,,,,,1,4.842135,0,9,9,12,1,A3CJS37DSXQOAZ,126,wolfe_063_R_laptop-a_w_outline.jpg,wolfe_063_R_laptop-b_w_outline.jpg,32,f,A3CJS37DSXQOAZ,2020-12-09_09h21.47.303,MetaAwareness,2020.1.2,Win32,60,3F6045TU7ER0U21Z4E6717VFVO1991,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,WASL8,WASL8,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,3LS2AMNW5GTCF8KLD75D8BBHNKDQOZ,262738,262738,,,,
