consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.797975,space,28.030095,5,2.761515,5,2.929115,1,4.382525,0,0,0,11,1,A3IXWFXJC2YKU7,126,wolfe_063_R_laptop-a_w_outline.jpg,wolfe_063_R_laptop-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,4,4.747865,0,1,1,10,1,A3IXWFXJC2YKU7,98,wolfe_049_R_painting-a_w_outline.jpg,wolfe_049_R_painting-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,1,3.178,0,2,2,13,1,A3IXWFXJC2YKU7,146,wolfe_073_R_coffeemug-a_w_outline.jpg,wolfe_073_R_coffeemug-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,4,6.568075,0,3,3,3,1,A3IXWFXJC2YKU7,28,wolfe_014_R_lamp-a_w_outline.jpg,wolfe_014_R_lamp-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,2,3.401995,0,4,4,17,1,A3IXWFXJC2YKU7,160,wolfe_080_R_plant-a_w_outline.jpg,wolfe_080_R_plant-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,2,3.16673,0,5,5,24,1,A3IXWFXJC2YKU7,236,wolfe_118_R_shoes-a_w_outline.jpg,wolfe_118_R_shoes-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,3,3.46903,0,6,6,4,1,A3IXWFXJC2YKU7,46,wolfe_023_R_remote-a_w_outline.jpg,wolfe_023_R_remote-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,2,3.885595,0,7,7,1,1,A3IXWFXJC2YKU7,16,wolfe_008_R_bottle-a_w_outline.jpg,wolfe_008_R_bottle-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,1,1.96692,0,8,8,7,1,A3IXWFXJC2YKU7,70,wolfe_035_R_fruit-a_w_outline.jpg,wolfe_035_R_fruit-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
,,,,,,,,1,2.366235,0,9,9,26,1,A3IXWFXJC2YKU7,240,wolfe_120_R_art-a_w_outline.jpg,wolfe_120_R_art-b_w_outline.jpg,32,m,A3IXWFXJC2YKU7,2020-12-10_08h57.06.603,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,0PWO9,0PWO9,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,3OWEPKL08AFKR5FUGTWUTVUHSO47NZ,263099,263099,,,,
