consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.318565,space,75.34233,5,5.12688,5,7.009665,3,10.581465,0,0,0,4,1,ADXHWQLUQBK77,37,wolfe_019_L_lamp_sized-a_w_outline.jpg,wolfe_019_L_lamp_sized-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,5.683275,0,1,1,27,1,ADXHWQLUQBK77,223,wolfe_112_L_basket-a_w_outline.jpg,wolfe_112_L_basket-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,11.414835,0,2,2,19,1,ADXHWQLUQBK77,153,wolfe_077_L_footrest-a_w_outline.jpg,wolfe_077_L_footrest-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,3.917275,0,3,3,13,1,ADXHWQLUQBK77,105,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,12.54818,0,4,4,0,1,ADXHWQLUQBK77,3,wolfe_002_L_napkin-a_w_outline.jpg,wolfe_002_L_napkin-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,6.315995,0,5,5,9,1,ADXHWQLUQBK77,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,10.56501,0,6,6,15,1,ADXHWQLUQBK77,119,wolfe_060_L_pillow-a_w_outline.jpg,wolfe_060_L_pillow-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,5.28376,0,7,7,22,1,ADXHWQLUQBK77,195,wolfe_098_L_slippers-a_w_outline.jpg,wolfe_098_L_slippers-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,3,4.983675,0,8,8,20,1,ADXHWQLUQBK77,155,wolfe_078_L_faucet-a_w_outline.jpg,wolfe_078_L_faucet-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,5.00071,0,9,9,23,1,ADXHWQLUQBK77,205,wolfe_103_L_hook-a_w_outline.jpg,wolfe_103_L_hook-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,9.06551,0,10,10,24,1,ADXHWQLUQBK77,207,wolfe_104_L_bottle-a_w_outline.jpg,wolfe_104_L_bottle-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,6.516255,0,11,11,1,1,ADXHWQLUQBK77,21,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,5.66685,0,12,12,26,1,ADXHWQLUQBK77,221,wolfe_111_L_pot-a_w_outline.jpg,wolfe_111_L_pot-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,5.70002,0,13,13,29,1,ADXHWQLUQBK77,245,wolfe_123_L_pot-a_w_outline.jpg,wolfe_123_L_pot-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,3.817595,0,14,14,11,1,ADXHWQLUQBK77,83,wolfe_042_L_tap-a_w_outline.jpg,wolfe_042_L_tap-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,4.01701,0,15,15,8,1,ADXHWQLUQBK77,73,wolfe_037_L_towel-a_w_outline.jpg,wolfe_037_L_towel-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,10.34847,0,16,16,6,1,ADXHWQLUQBK77,53,wolfe_027_L_soapdish-a_w_outline.jpg,wolfe_027_L_soapdish-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,5,5.449885,0,17,17,5,1,ADXHWQLUQBK77,39,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,5.218655,0,18,18,2,1,ADXHWQLUQBK77,27,wolfe_014_L_lamp-a_w_outline.jpg,wolfe_014_L_lamp-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,3.984045,0,19,19,18,1,ADXHWQLUQBK77,149,wolfe_075_L_light-a_w_outline.jpg,wolfe_075_L_light-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,3.534555,0,20,20,3,1,ADXHWQLUQBK77,31,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,4.333875,0,21,21,28,1,ADXHWQLUQBK77,239,wolfe_120_L_art-a_w_outline.jpg,wolfe_120_L_art-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,1,3.084055,0,22,22,14,1,ADXHWQLUQBK77,113,wolfe_057_L_bin-a_w_outline.jpg,wolfe_057_L_bin-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,8.932355,0,23,23,17,1,ADXHWQLUQBK77,137,wolfe_069_L_things-a_w_outline.jpg,wolfe_069_L_things-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,4.284005,0,24,24,12,1,ADXHWQLUQBK77,99,wolfe_050_L_book-a_w_outline.jpg,wolfe_050_L_book-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,3,5.71633,0,25,25,21,1,ADXHWQLUQBK77,189,wolfe_095_L_candle-a_w_outline.jpg,wolfe_095_L_candle-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,4,3.334515,0,26,26,10,1,ADXHWQLUQBK77,79,wolfe_040_L_painting-a_w_outline.jpg,wolfe_040_L_painting-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
,,,,,,,,2,3.366995,0,27,27,16,1,ADXHWQLUQBK77,129,wolfe_065_L_cd-a_w_outline.jpg,wolfe_065_L_cd-b_w_outline.jpg,67,male,ADXHWQLUQBK77,2020-12-10_08h54.38.322,MetaAwareness,2020.1.2,Win32,60,3K1H3NEY7M2RC21OU0HJFK0SQN8GDF,39ASUFLU6YAACE8857X9X7DWGPHXEU,UUA99,UUA99,39ASUFLU6YAACE8857X9X7DWGPHXEU,39ASUFLU6YAACE8857X9X7DWGPHXEU,263099,263099,,,,
