consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,12.559,space,21.846,5,205.992,5,3.422,5,4.172,0,0,0,11,1,AHVM9ORYY3F5J,111,wolfe_056_L_comforter-a_w_outline.jpg,wolfe_056_L_comforter-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,3,4.15,0,1,1,1,1,AHVM9ORYY3F5J,3,wolfe_002_L_napkin-a_w_outline.jpg,wolfe_002_L_napkin-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,1,5.235,0,2,2,12,1,AHVM9ORYY3F5J,129,wolfe_065_L_cd-a_w_outline.jpg,wolfe_065_L_cd-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,2,3.842,0,3,3,5,1,AHVM9ORYY3F5J,37,wolfe_019_L_lamp_sized-a_w_outline.jpg,wolfe_019_L_lamp_sized-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,1,4.149,0,4,4,2,1,AHVM9ORYY3F5J,7,wolfe_004_L_electricalgrid-a_w_outline.jpg,wolfe_004_L_electricalgrid-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,2,18.478,0,5,5,17,1,AHVM9ORYY3F5J,167,wolfe_084_L_light-a_w_outline.jpg,wolfe_084_L_light-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,1,3.91,0,6,6,4,1,AHVM9ORYY3F5J,29,wolfe_015_L_ceilinglight-a_w_outline.jpg,wolfe_015_L_ceilinglight-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,1,7.952,0,7,7,18,1,AHVM9ORYY3F5J,169,wolfe_085_L_switchboard-a_w_outline.jpg,wolfe_085_L_switchboard-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,1,3.465,0,8,8,0,1,AHVM9ORYY3F5J,1,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
,,,,,,,,2,3.948,0,9,9,19,1,AHVM9ORYY3F5J,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,29,F,AHVM9ORYY3F5J,2020-12-09_10h15.31.731,MetaAwareness,2020.1.2,MacIntel,60,3F6045TU7ER0U21Z4E6717VFVO1991,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,LAS28,LAS28,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,32SVAV9L3GCV63KI5DOZU8Y1OBW3AB,262738,262738,,,,
