consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,64.003,space,59.339,5,10.957,5,12.793,1,14.782,0,0,0,23,1,AIZUOHKQT14OM,201,wolfe_101_L_cup-a_w_outline.jpg,wolfe_101_L_cup-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,3,8.057,0,1,1,13,1,AIZUOHKQT14OM,149,wolfe_075_L_light-a_w_outline.jpg,wolfe_075_L_light-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,2,8.212,0,2,2,15,1,AIZUOHKQT14OM,159,wolfe_080_L_plant-a_w_outline.jpg,wolfe_080_L_plant-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,2,8.993,0,3,3,12,1,AIZUOHKQT14OM,143,wolfe_072_L_handle-a_w_outline.jpg,wolfe_072_L_handle-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,2,6.387,0,4,4,19,1,AIZUOHKQT14OM,175,wolfe_088_L_clock-a_w_outline.jpg,wolfe_088_L_clock-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,3,6.039,0,5,5,28,1,AIZUOHKQT14OM,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,6.144,0,6,6,3,1,AIZUOHKQT14OM,21,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,6.777,0,7,7,2,1,AIZUOHKQT14OM,15,wolfe_008_L_bottle-a_w_outline.jpg,wolfe_008_L_bottle-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,1,7.869,0,8,8,1,1,AIZUOHKQT14OM,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,2,5.841,0,9,9,29,1,AIZUOHKQT14OM,249,wolfe_125_L_sofa-a_w_outline.jpg,wolfe_125_L_sofa-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,1,8.665,0,10,10,21,1,AIZUOHKQT14OM,191,wolfe_096_L_painting-a_w_outline.jpg,wolfe_096_L_painting-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,3,6.31,0,11,11,6,1,AIZUOHKQT14OM,47,wolfe_024_L_towels-a_w_outline.jpg,wolfe_024_L_towels-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,1,5.644,0,12,12,14,1,AIZUOHKQT14OM,157,wolfe_079_L_bowl-a_w_outline.jpg,wolfe_079_L_bowl-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,4.364,0,13,13,4,1,AIZUOHKQT14OM,31,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,3,4.462,0,14,14,7,1,AIZUOHKQT14OM,49,wolfe_025_L_vase-a_w_outline.jpg,wolfe_025_L_vase-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,4.923,0,15,15,24,1,AIZUOHKQT14OM,227,wolfe_114_L_bird-a_w_outline.jpg,wolfe_114_L_bird-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,1,5.198,0,16,16,18,1,AIZUOHKQT14OM,169,wolfe_085_L_switchboard-a_w_outline.jpg,wolfe_085_L_switchboard-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,4.05,0,17,17,8,1,AIZUOHKQT14OM,69,wolfe_035_L_fruit-a_w_outline.jpg,wolfe_035_L_fruit-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,4,4.235,0,18,18,9,1,AIZUOHKQT14OM,81,wolfe_041_L_fruit-a_w_outline.jpg,wolfe_041_L_fruit-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
,,,,,,,,2,5.524,0,19,19,17,1,AIZUOHKQT14OM,167,wolfe_084_L_light-a_w_outline.jpg,wolfe_084_L_light-b_w_outline.jpg,40,m,AIZUOHKQT14OM,2020-12-08_16h22.32.524,MetaAwareness,2020.1.2,Win32,60,3EN4YVUOUDVF1AW6T63Y64V0YVLXJI,3UN61F00HXSQJZT3L7YE4VLV29C5R8,01NU8,01NU8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,3UN61F00HXSQJZT3L7YE4VLV29C5R8,262738,262738,,,,
