consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,13.003565,space,41.82838,5,11.540575,5,2.704435,1,5.92105,0,0,0,18,1,AJQ71YIGY01HZ,170,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,1,3.757845,0,1,1,25,1,AJQ71YIGY01HZ,224,wolfe_112_R_basket-a_w_outline.jpg,wolfe_112_R_basket-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,3,4.739215,0,2,2,8,1,AJQ71YIGY01HZ,44,wolfe_022_R_lamp-a_w_outline.jpg,wolfe_022_R_lamp-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,2,12.551465,0,3,3,24,1,AJQ71YIGY01HZ,220,wolfe_110_R_plant-a_w_outline.jpg,wolfe_110_R_plant-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,2,7.049765,0,4,4,16,1,AJQ71YIGY01HZ,128,wolfe_064_R_bottles-a_w_outline.jpg,wolfe_064_R_bottles-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,1,4.21796,0,5,5,4,1,AJQ71YIGY01HZ,16,wolfe_008_R_bottle-a_w_outline.jpg,wolfe_008_R_bottle-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,1,3.133645,0,6,6,23,1,AJQ71YIGY01HZ,214,wolfe_107_R_shirts-a_w_outline.jpg,wolfe_107_R_shirts-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,1,2.97809,0,7,7,9,1,AJQ71YIGY01HZ,70,wolfe_035_R_fruit-a_w_outline.jpg,wolfe_035_R_fruit-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,1,2.544695,0,8,8,13,1,AJQ71YIGY01HZ,96,wolfe_048_R_art-a_w_outline.jpg,wolfe_048_R_art-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
,,,,,,,,3,5.38921,0,9,9,28,1,AJQ71YIGY01HZ,238,wolfe_119_R_painting-a_w_outline.jpg,wolfe_119_R_painting-b_w_outline.jpg,33,Female,AJQ71YIGY01HZ,2020-12-18_10h32.03.769,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,37XITHEISXCBIK2I0HLMI1R5W1DRC5,ITX70,ITX70,37XITHEISXCBIK2I0HLMI1R5W1DRC5,37XITHEISXCBIK2I0HLMI1R5W1DRC5,265030,265030,,,,
