consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.73358,space,17.67815,5,3.204085,5,1.82796,4,3.89529,0,0,0,28,1,AROOCBM042SJD,249,wolfe_125_L_sofa-a_w_outline.jpg,wolfe_125_L_sofa-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,4.63657,0,1,1,26,1,AROOCBM042SJD,239,wolfe_120_L_art-a_w_outline.jpg,wolfe_120_L_art-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,2.6835,0,2,2,1,1,AROOCBM042SJD,5,wolfe_003_L_ducks-a_w_outline.jpg,wolfe_003_L_ducks-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,3.006675,0,3,3,21,1,AROOCBM042SJD,177,wolfe_089_L_poster-a_w_outline.jpg,wolfe_089_L_poster-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.30499,0,4,4,11,1,AROOCBM042SJD,75,wolfe_038_L_art-a_w_outline.jpg,wolfe_038_L_art-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,3,3.4561,0,5,5,6,1,AROOCBM042SJD,49,wolfe_025_L_vase-a_w_outline.jpg,wolfe_025_L_vase-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,2,4.9418,0,6,6,9,1,AROOCBM042SJD,71,wolfe_036_L_bowl-a_w_outline.jpg,wolfe_036_L_bowl-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,1,9.4474,0,7,7,12,1,AROOCBM042SJD,77,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.81783,0,8,8,0,1,AROOCBM042SJD,1,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,2.392675,0,9,9,25,1,AROOCBM042SJD,211,wolfe_106_L_toweldispenser-a_w_outline.jpg,wolfe_106_L_toweldispenser-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,4.20765,0,10,10,24,1,AROOCBM042SJD,205,wolfe_103_L_hook-a_w_outline.jpg,wolfe_103_L_hook-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,3.30201,0,11,11,3,1,AROOCBM042SJD,23,wolfe_012_L_tubaccesory-a_w_outline.jpg,wolfe_012_L_tubaccesory-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.842935,0,12,12,5,1,AROOCBM042SJD,39,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,3,3.44305,0,13,13,7,1,AROOCBM042SJD,53,wolfe_027_L_soapdish-a_w_outline.jpg,wolfe_027_L_soapdish-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,3.066765,0,14,14,16,1,AROOCBM042SJD,111,wolfe_056_L_comforter-a_w_outline.jpg,wolfe_056_L_comforter-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,3.32653,0,15,15,8,1,AROOCBM042SJD,69,wolfe_035_L_fruit-a_w_outline.jpg,wolfe_035_L_fruit-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,3.18187,0,16,16,22,1,AROOCBM042SJD,185,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,2.520535,0,17,17,19,1,AROOCBM042SJD,119,wolfe_060_L_pillow-a_w_outline.jpg,wolfe_060_L_pillow-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.19353,0,18,18,4,1,AROOCBM042SJD,27,wolfe_014_L_lamp-a_w_outline.jpg,wolfe_014_L_lamp-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,1,3.61455,0,19,19,20,1,AROOCBM042SJD,169,wolfe_085_L_switchboard-a_w_outline.jpg,wolfe_085_L_switchboard-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.49407,0,20,20,2,1,AROOCBM042SJD,9,wolfe_005_L_mirror-a_w_outline.jpg,wolfe_005_L_mirror-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,3.88751,0,21,21,18,1,AROOCBM042SJD,115,wolfe_058_L_clutch-a_w_outline.jpg,wolfe_058_L_clutch-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.28746,0,22,22,14,1,AROOCBM042SJD,101,wolfe_051_L_owl-a_w_outline.jpg,wolfe_051_L_owl-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.694335,0,23,23,13,1,AROOCBM042SJD,79,wolfe_040_L_painting-a_w_outline.jpg,wolfe_040_L_painting-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,2,3.40246,0,24,24,17,1,AROOCBM042SJD,113,wolfe_057_L_bin-a_w_outline.jpg,wolfe_057_L_bin-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,3.057085,0,25,25,29,1,AROOCBM042SJD,253,wolfe_127_L_light-a_w_outline.jpg,wolfe_127_L_light-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.86753,0,26,26,15,1,AROOCBM042SJD,103,wolfe_052_L_speaker-a_w_outline.jpg,wolfe_052_L_speaker-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,4,2.96917,0,27,27,10,1,AROOCBM042SJD,73,wolfe_037_L_towel-a_w_outline.jpg,wolfe_037_L_towel-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,1,6.947735,0,28,28,27,1,AROOCBM042SJD,243,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,5,2.82844,0,29,29,23,1,AROOCBM042SJD,199,wolfe_100_L_mirror-a_w_outline.jpg,wolfe_100_L_mirror-b_w_outline.jpg,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,,,,
,,,,,,,,,,,,,,,AROOCBM042SJD,,,,36,f,AROOCBM042SJD,2020-12-18_11h04.28.004,MetaAwareness,2020.1.2,Win32,60,3APP19WN72HSRTM9KD959EQ0ACAG6Z,3BQU611VFQN3GMZTUGB9PQQ3KU499J,V6QB0,V6QB0,3BQU611VFQN3GMZTUGB9PQQ3KU499J,3BQU611VFQN3GMZTUGB9PQQ3KU499J,265030,265030,4,0.51694,1,25.188335
