consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,35.57819,space,23.67515,5,5.37301,5,4.10629,3,4.75606,0,0,0,0,1,A12O9P1OTMJOPW,1,wolfe_060_R_pillow-a_w_outline.jpg,wolfe_060_R_pillow-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,2,7.19057,0,1,1,19,1,A12O9P1OTMJOPW,20,wolfe_026_R_rack-a_w_outline.jpg,wolfe_026_R_rack-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,1,4.3097,0,2,2,16,1,A12O9P1OTMJOPW,17,wolfe_043_R_clock-a_w_outline.jpg,wolfe_043_R_clock-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,2,3.72536,0,3,3,22,1,A12O9P1OTMJOPW,23,wolfe_006_R_vase-a_w_outline.jpg,wolfe_006_R_vase-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,1,4.27153,0,4,4,28,1,A12O9P1OTMJOPW,29,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,3,4.54232,0,5,5,7,1,A12O9P1OTMJOPW,8,wolfe_022_R_lamp-a_w_outline.jpg,wolfe_022_R_lamp-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,3,4.629055,0,6,6,4,1,A12O9P1OTMJOPW,5,wolfe_080_R_plant-a_w_outline.jpg,wolfe_080_R_plant-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,1,4.293935,0,7,7,21,1,A12O9P1OTMJOPW,22,wolfe_077_R_footrest-a_w_outline.jpg,wolfe_077_R_footrest-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,3,4.46426,0,8,8,29,1,A12O9P1OTMJOPW,30,wolfe_005_R_mirror-a_w_outline.jpg,wolfe_005_R_mirror-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
,,,,,,,,3,3.63922,0,9,9,12,1,A12O9P1OTMJOPW,13,wolfe_100_R_mirror-a_w_outline.jpg,wolfe_100_R_mirror-b_w_outline.jpg,61,f,A12O9P1OTMJOPW,2020-10-31_08h29.26.036,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3K3R2QNK8C610ENWSR60LMDGQ739UA,K23K5,K23K5,3K3R2QNK8C610ENWSR60LMDGQ739UA,3K3R2QNK8C610ENWSR60LMDGQ739UA,250995,250995,,,,
