consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,5.97026,space,15.679205,5,3.231185,5,3.182015,2,3.871135,0,0,0,9,1,A14EYTLSMJRPUK,10,wolfe_098_R_slippers-a_w_outline.jpg,wolfe_098_R_slippers-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,4,3.27631,0,1,1,20,1,A14EYTLSMJRPUK,21,wolfe_054_R_firewood-a_w_outline.jpg,wolfe_054_R_firewood-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.991855,0,2,2,15,1,A14EYTLSMJRPUK,16,wolfe_111_R_pot-a_w_outline.jpg,wolfe_111_R_pot-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,3,4.21954,0,3,3,8,1,A14EYTLSMJRPUK,9,wolfe_074_R_book-a_w_outline.jpg,wolfe_074_R_book-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,3,3.529765,0,4,4,27,1,A14EYTLSMJRPUK,28,wolfe_034_R_handle-a_w_outline.jpg,wolfe_034_R_handle-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,4,3.36755,0,5,5,6,1,A14EYTLSMJRPUK,7,wolfe_070_R_lamp-a_w_outline.jpg,wolfe_070_R_lamp-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.16109,0,6,6,12,1,A14EYTLSMJRPUK,13,wolfe_036_R_bowl-a_w_outline.jpg,wolfe_036_R_bowl-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.00229,0,7,7,26,1,A14EYTLSMJRPUK,27,wolfe_032_R_bottle-a_w_outline.jpg,wolfe_032_R_bottle-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.480935,0,8,8,2,1,A14EYTLSMJRPUK,3,wolfe_046_R_remote-a_w_outline.jpg,wolfe_046_R_remote-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,4.140645,0,9,9,5,1,A14EYTLSMJRPUK,6,wolfe_013_R_lamp-a_w_outline.jpg,wolfe_013_R_lamp-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,3,3.50849,0,10,10,28,1,A14EYTLSMJRPUK,29,wolfe_039_R_ventilator-a_w_outline.jpg,wolfe_039_R_ventilator-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,4.07781,0,11,11,24,1,A14EYTLSMJRPUK,25,wolfe_033_R_vase-a_w_outline.jpg,wolfe_033_R_vase-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,2,3.92126,0,12,12,13,1,A14EYTLSMJRPUK,14,wolfe_051_R_owl-a_w_outline.jpg,wolfe_051_R_owl-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.16606,0,13,13,4,1,A14EYTLSMJRPUK,5,wolfe_091_R_airfreshener-a_w_outline.jpg,wolfe_091_R_airfreshener-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,1,3.00656,0,14,14,18,1,A14EYTLSMJRPUK,19,wolfe_072_R_handle-a_w_outline.jpg,wolfe_072_R_handle-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,4,4.412015,0,15,15,11,1,A14EYTLSMJRPUK,12,wolfe_102_R_shoppingbag-a_w_outline.jpg,wolfe_102_R_shoppingbag-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
,,,,,,,,3,3.597435,0,16,16,21,1,A14EYTLSMJRPUK,22,wolfe_020_R_walldeco-a_w_outline.jpg,wolfe_020_R_walldeco-b_w_outline.jpg,34,m,A14EYTLSMJRPUK,2020-10-30_07h34.06.809,MetaAwareness,2020.1.2,Linux x86_64,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,PY2M5,PY2M5,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,3M23Y66PO3AY3ITU5F8OMB4QF5T6SR,250995,250995,,,,
