consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,4.822405,space,5.080505,5,4.793305,5,1.65978,4,5.72523,0,0,0,10,1,A173A97OFDAX9F,11,wolfe_074_R_book-a_w_outline.jpg,wolfe_074_R_book-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,3,3.90747,0,1,1,16,1,A173A97OFDAX9F,17,wolfe_004_R_electricalgrid-a_w_outline.jpg,wolfe_004_R_electricalgrid-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,2,4.258285,0,2,2,11,1,A173A97OFDAX9F,12,wolfe_092_R_candles-a_w_outline.jpg,wolfe_092_R_candles-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,5,5.210475,0,3,3,13,1,A173A97OFDAX9F,14,wolfe_038_R_art-a_w_outline.jpg,wolfe_038_R_art-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,1,5.243925,0,4,4,14,1,A173A97OFDAX9F,15,wolfe_027_R_soapdish-a_w_outline.jpg,wolfe_027_R_soapdish-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,3,5.04197,0,5,5,4,1,A173A97OFDAX9F,5,wolfe_069_R_things-a_w_outline.jpg,wolfe_069_R_things-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,4,3.390855,0,6,6,8,1,A173A97OFDAX9F,9,wolfe_067_R_painting-a_w_outline.jpg,wolfe_067_R_painting-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,2,3.774155,0,7,7,22,1,A173A97OFDAX9F,23,wolfe_073_R_coffeemug-a_w_outline.jpg,wolfe_073_R_coffeemug-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,3,2.99092,0,8,8,7,1,A173A97OFDAX9F,8,wolfe_014_R_lamp-a_w_outline.jpg,wolfe_014_R_lamp-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
,,,,,,,,3,3.791235,0,9,9,18,1,A173A97OFDAX9F,19,wolfe_111_R_pot-a_w_outline.jpg,wolfe_111_R_pot-b_w_outline.jpg,25,f,A173A97OFDAX9F,2020-10-29_21h21.06.887,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,3ZSANO2JCGAUMBM568BSGHH3804SFG,JNSZ5,JNSZ5,3ZSANO2JCGAUMBM568BSGHH3804SFG,3ZSANO2JCGAUMBM568BSGHH3804SFG,250995,250995,,,,
