consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,10.83181,space,65.026625,5,10.770335,5,3.92694,2,8.63808,0,0,0,5,1,A18MHXGNZMORFP,6,wolfe_091_R_airfreshener-a_w_outline.jpg,wolfe_091_R_airfreshener-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,3,3.951635,0,1,1,13,1,A18MHXGNZMORFP,14,wolfe_023_R_remote-a_w_outline.jpg,wolfe_023_R_remote-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,1,3.064035,0,2,2,29,1,A18MHXGNZMORFP,30,wolfe_063_R_laptop-a_w_outline.jpg,wolfe_063_R_laptop-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,2,8.09055,0,3,3,10,1,A18MHXGNZMORFP,11,wolfe_081_R_football-a_w_outline.jpg,wolfe_081_R_football-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,4,6.11929,0,4,4,19,1,A18MHXGNZMORFP,20,wolfe_009_R_carpet-a_w_outline.jpg,wolfe_009_R_carpet-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,3,11.812265,0,5,5,25,1,A18MHXGNZMORFP,26,wolfe_074_R_book-a_w_outline.jpg,wolfe_074_R_book-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,3,15.12585,0,6,6,22,1,A18MHXGNZMORFP,23,wolfe_064_R_bottles-a_w_outline.jpg,wolfe_064_R_bottles-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,3,3.730965,0,7,7,24,1,A18MHXGNZMORFP,25,wolfe_038_R_art-a_w_outline.jpg,wolfe_038_R_art-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,3,8.95189,0,8,8,28,1,A18MHXGNZMORFP,29,wolfe_052_R_speaker-a_w_outline.jpg,wolfe_052_R_speaker-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
,,,,,,,,2,4.862075,0,9,9,0,1,A18MHXGNZMORFP,1,wolfe_050_R_book-a_w_outline.jpg,wolfe_050_R_book-b_w_outline.jpg,29,m,A18MHXGNZMORFP,2020-11-02_11h06.01.371,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX3SED,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,LUH05,LUH05,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,30H4UDGLT3L3FTYU0EBBG2W1IWAPMZ,250995,250995,,,,
