consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,8.684385,space,13.301055,5,4.566625,5,1.634585,2,7.66395,0,0,0,12,1,A1XVEKS9O73ERE,13,wolfe_101_L_cup-a_w_outline.jpg,wolfe_101_L_cup-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,4,5.03406,0,1,1,23,1,A1XVEKS9O73ERE,24,wolfe_098_L_slippers-a_w_outline.jpg,wolfe_098_L_slippers-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,4,5.984685,0,2,2,13,1,A1XVEKS9O73ERE,14,wolfe_046_L_remote-a_w_outline.jpg,wolfe_046_L_remote-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,4,3.28524,0,3,3,22,1,A1XVEKS9O73ERE,23,wolfe_087_L_towelhandle-a_w_outline.jpg,wolfe_087_L_towelhandle-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,2,3.03481,0,4,4,18,1,A1XVEKS9O73ERE,19,wolfe_008_L_bottle-a_w_outline.jpg,wolfe_008_L_bottle-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,4,3.051335,0,5,5,8,1,A1XVEKS9O73ERE,9,wolfe_056_L_comforter-a_w_outline.jpg,wolfe_056_L_comforter-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,4,5.068385,0,6,6,16,1,A1XVEKS9O73ERE,17,wolfe_016_L_art-a_w_outline.jpg,wolfe_016_L_art-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,2,4.184355,0,7,7,11,1,A1XVEKS9O73ERE,12,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,2,4.73483,0,8,8,5,1,A1XVEKS9O73ERE,6,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
,,,,,,,,2,4.269475,0,9,9,29,1,A1XVEKS9O73ERE,30,wolfe_034_L_handle-a_w_outline.jpg,wolfe_034_L_handle-b_w_outline.jpg,39,f,A1XVEKS9O73ERE,2020-10-30_09h30.48.471,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,00EW6,00EW6,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,3WEV0KO0ONVXOR89F2G2SHEIWR7DSH,254546,254546,,,,
