consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,5.656655,space,20.812815,5,3.827355,5,2.40878,2,5.276965,0,0,0,8,1,A21OS9KG7JNHR7,9,wolfe_093_L_switch-a_w_outline.jpg,wolfe_093_L_switch-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,2,5.311345,0,1,1,1,1,A21OS9KG7JNHR7,2,wolfe_122_L_chair-a_w_outline.jpg,wolfe_122_L_chair-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,3,6.078645,0,2,2,13,1,A21OS9KG7JNHR7,14,wolfe_067_L_painting-a_w_outline.jpg,wolfe_067_L_painting-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,4,5.52694,0,3,3,6,1,A21OS9KG7JNHR7,7,wolfe_039_L_ventilator-a_w_outline.jpg,wolfe_039_L_ventilator-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,2,5.581865,0,4,4,9,1,A21OS9KG7JNHR7,10,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,2,5.47786,0,5,5,11,1,A21OS9KG7JNHR7,12,wolfe_065_L_cd-a_w_outline.jpg,wolfe_065_L_cd-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,1,8.14299,0,6,6,25,1,A21OS9KG7JNHR7,26,wolfe_033_L_vase-a_w_outline.jpg,wolfe_033_L_vase-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,4,4.658485,0,7,7,14,1,A21OS9KG7JNHR7,15,wolfe_097_L_light-a_w_outline.jpg,wolfe_097_L_light-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,2,3.430035,0,8,8,26,1,A21OS9KG7JNHR7,27,wolfe_076_L_hook-a_w_outline.jpg,wolfe_076_L_hook-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,2,4.54056,0,9,9,28,1,A21OS9KG7JNHR7,29,wolfe_001_L_mirror-a_w_outline.jpg,wolfe_001_L_mirror-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,3,3.58966,0,10,10,19,1,A21OS9KG7JNHR7,20,wolfe_074_L_book-a_w_outline.jpg,wolfe_074_L_book-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,4,4.457275,0,11,11,24,1,A21OS9KG7JNHR7,25,wolfe_023_L_remote-a_w_outline.jpg,wolfe_023_L_remote-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,1,4.672625,0,12,12,21,1,A21OS9KG7JNHR7,22,wolfe_053_L_handle-a_w_outline.jpg,wolfe_053_L_handle-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
,,,,,,,,1,4.85978,0,13,13,3,1,A21OS9KG7JNHR7,4,wolfe_073_L_coffeemug-a_w_outline.jpg,wolfe_073_L_coffeemug-b_w_outline.jpg,32,F,A21OS9KG7JNHR7,2020-11-06_19h02.49.084,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,2F2N6,2F2N6,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,3N2BF7Y2VRXB2C06H1367TUAXVQHMT,254546,254546,,,,
