consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,14.101755,space,19.550705,5,5.12724,5,1.004745,4,2.853595,0,0,0,1,1,A2BBDH8DZD77AU,2,wolfe_039_R_ventilator-a_w_outline.jpg,wolfe_039_R_ventilator-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,3,2.319875,0,1,1,7,1,A2BBDH8DZD77AU,8,wolfe_085_R_switchboard-a_w_outline.jpg,wolfe_085_R_switchboard-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,3,2.53148,0,2,2,22,1,A2BBDH8DZD77AU,23,wolfe_006_R_vase-a_w_outline.jpg,wolfe_006_R_vase-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,2,2.75599,0,3,3,4,1,A2BBDH8DZD77AU,5,wolfe_003_R_ducks-a_w_outline.jpg,wolfe_003_R_ducks-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,2,2.451865,0,4,4,2,1,A2BBDH8DZD77AU,3,wolfe_103_R_hook-a_w_outline.jpg,wolfe_103_R_hook-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,3,2.52916,0,5,5,9,1,A2BBDH8DZD77AU,10,wolfe_124_R_vase-a_w_outline.jpg,wolfe_124_R_vase-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,2,2.511955,0,6,6,21,1,A2BBDH8DZD77AU,22,wolfe_035_R_fruit-a_w_outline.jpg,wolfe_035_R_fruit-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,3,2.589275,0,7,7,27,1,A2BBDH8DZD77AU,28,wolfe_055_R_carpet-a_w_outline.jpg,wolfe_055_R_carpet-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,2,2.73838,0,8,8,13,1,A2BBDH8DZD77AU,14,wolfe_122_R_chair-a_w_outline.jpg,wolfe_122_R_chair-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
,,,,,,,,2,2.0303,0,9,9,26,1,A2BBDH8DZD77AU,27,wolfe_121_R_car-a_w_outline.jpg,wolfe_121_R_car-b_w_outline.jpg,22,f,A2BBDH8DZD77AU,2020-11-02_23h38.47.581,MetaAwareness,2020.1.2,Win32,60,33NOQL7T9P2FMO023KUSEZ2XP968Z0,39OWYR0EPLURIXYE5E3HY354Q4MYFP,EYO96,EYO96,39OWYR0EPLURIXYE5E3HY354Q4MYFP,39OWYR0EPLURIXYE5E3HY354Q4MYFP,254546,254546,,,,
