consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,32.74705,space,38.834705,5,15.129605,5,2.49303,2,11.169935,0,0,0,14,1,A2TUUIV61CR0C7,15,wolfe_057_L_bin-a_w_outline.jpg,wolfe_057_L_bin-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,5,10.015175,0,1,1,0,1,A2TUUIV61CR0C7,1,wolfe_022_L_lamp-a_w_outline.jpg,wolfe_022_L_lamp-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,3,11.35052,0,2,2,5,1,A2TUUIV61CR0C7,6,wolfe_048_L_art-a_w_outline.jpg,wolfe_048_L_art-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,4,11.151255,0,3,3,15,1,A2TUUIV61CR0C7,16,wolfe_069_L_things-a_w_outline.jpg,wolfe_069_L_things-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,4,5.778835,0,4,4,26,1,A2TUUIV61CR0C7,27,wolfe_020_L_walldeco-a_w_outline.jpg,wolfe_020_L_walldeco-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,4,11.287,0,5,5,19,1,A2TUUIV61CR0C7,20,wolfe_083_L_knob-a_w_outline.jpg,wolfe_083_L_knob-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,5,5.678835,0,6,6,29,1,A2TUUIV61CR0C7,30,wolfe_127_L_light-a_w_outline.jpg,wolfe_127_L_light-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,3,4.84981,0,7,7,11,1,A2TUUIV61CR0C7,12,wolfe_061_L_glass-a_w_outline.jpg,wolfe_061_L_glass-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,4,5.249455,0,8,8,6,1,A2TUUIV61CR0C7,7,wolfe_060_L_pillow-a_w_outline.jpg,wolfe_060_L_pillow-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
,,,,,,,,3,8.85142,0,9,9,22,1,A2TUUIV61CR0C7,23,wolfe_092_L_candles-a_w_outline.jpg,wolfe_092_L_candles-b_w_outline.jpg,63,female,A2TUUIV61CR0C7,2020-10-30_09h36.31.748,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,8O1A7,8O1A7,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,3A1COHJ8NKYWHNY2N0TN2BTFCPU8HM,254547,254547,,,,
