consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,16.479805,space,28.73186,5,2.78072,5,1.272445,3,4.309695,0,0,0,12,1,A3PKTPXXORWR97,13,wolfe_123_R_pot-a_w_outline.jpg,wolfe_123_R_pot-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,4,4.263565,0,1,1,6,1,A3PKTPXXORWR97,7,wolfe_066_R_vase-a_w_outline.jpg,wolfe_066_R_vase-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,2,4.0658,0,2,2,18,1,A3PKTPXXORWR97,19,wolfe_106_R_toweldispenser-a_w_outline.jpg,wolfe_106_R_toweldispenser-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,3,7.301565,0,3,3,17,1,A3PKTPXXORWR97,18,wolfe_092_R_candles-a_w_outline.jpg,wolfe_092_R_candles-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,3,6.13716,0,4,4,19,1,A3PKTPXXORWR97,20,wolfe_122_R_chair-a_w_outline.jpg,wolfe_122_R_chair-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,5,2.860085,0,5,5,14,1,A3PKTPXXORWR97,15,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,2,3.23115,0,6,6,4,1,A3PKTPXXORWR97,5,wolfe_111_R_pot-a_w_outline.jpg,wolfe_111_R_pot-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,2,6.702905,0,7,7,1,1,A3PKTPXXORWR97,2,wolfe_107_R_shirts-a_w_outline.jpg,wolfe_107_R_shirts-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,3,3.149315,0,8,8,2,1,A3PKTPXXORWR97,3,wolfe_049_R_painting-a_w_outline.jpg,wolfe_049_R_painting-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,1,10.017575,0,9,9,3,1,A3PKTPXXORWR97,4,wolfe_037_R_towel-a_w_outline.jpg,wolfe_037_R_towel-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,4,4.901705,0,10,10,25,1,A3PKTPXXORWR97,26,wolfe_119_R_painting-a_w_outline.jpg,wolfe_119_R_painting-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,4,3.48097,0,11,11,16,1,A3PKTPXXORWR97,17,wolfe_120_R_art-a_w_outline.jpg,wolfe_120_R_art-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,5,2.440625,0,12,12,0,1,A3PKTPXXORWR97,1,wolfe_084_R_light-a_w_outline.jpg,wolfe_084_R_light-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
,,,,,,,,2,4.32643,0,13,13,24,1,A3PKTPXXORWR97,25,wolfe_048_R_art-a_w_outline.jpg,wolfe_048_R_art-b_w_outline.jpg,27,f,A3PKTPXXORWR97,2020-10-30_12h28.41.398,MetaAwareness,2020.1.2,Win32,60,3XBXDSS889MLW0K6WRFBMJ8S197LX2,3RSDURM96BPZCJYIA3JBGLK4DOMYER,9USR7,9USR7,3RSDURM96BPZCJYIA3JBGLK4DOMYER,3RSDURM96BPZCJYIA3JBGLK4DOMYER,254547,254547,,,,
