consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,55.19307,space,34.33737,5,6.48572,5,2.42355,1,5.528515,0,0,0,15,1,A3S3WYVCVWW8IZ,16,wolfe_033_R_vase-a_w_outline.jpg,wolfe_033_R_vase-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,4,6.25163,0,1,1,20,1,A3S3WYVCVWW8IZ,21,wolfe_099_R_sconce-a_w_outline.jpg,wolfe_099_R_sconce-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,3,5.04797,0,2,2,12,1,A3S3WYVCVWW8IZ,13,wolfe_026_R_rack-a_w_outline.jpg,wolfe_026_R_rack-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,2,3.923485,0,3,3,21,1,A3S3WYVCVWW8IZ,22,wolfe_061_R_glass-a_w_outline.jpg,wolfe_061_R_glass-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,3,4.88462,0,4,4,5,1,A3S3WYVCVWW8IZ,6,wolfe_067_R_painting-a_w_outline.jpg,wolfe_067_R_painting-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,5,2.983865,0,5,5,0,1,A3S3WYVCVWW8IZ,1,wolfe_056_R_comforter-a_w_outline.jpg,wolfe_056_R_comforter-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,4,3.73487,0,6,6,7,1,A3S3WYVCVWW8IZ,8,wolfe_041_R_fruit-a_w_outline.jpg,wolfe_041_R_fruit-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,1,5.651855,0,7,7,27,1,A3S3WYVCVWW8IZ,28,wolfe_107_R_shirts-a_w_outline.jpg,wolfe_107_R_shirts-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,1,14.901555,0,8,8,23,1,A3S3WYVCVWW8IZ,24,wolfe_037_R_towel-a_w_outline.jpg,wolfe_037_R_towel-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
,,,,,,,,1,5.219095,0,9,9,4,1,A3S3WYVCVWW8IZ,5,wolfe_012_R_tubaccesory-a_w_outline.jpg,wolfe_012_R_tubaccesory-b_w_outline.jpg,35,m,A3S3WYVCVWW8IZ,2020-10-30_07h51.55.385,MetaAwareness,2020.1.2,Win32,60,3LCXHSGDLU9ZUDOFLVMKAG1GDX4ES0,3E47SOBEYRZYPLZZAURD49QD2SUICT,ES4E8,ES4E8,3E47SOBEYRZYPLZZAURD49QD2SUICT,3E47SOBEYRZYPLZZAURD49QD2SUICT,254548,254548,,,,
