consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,Airplane_resp.keys,Airplane_resp.rt,Boat_resp.keys,Boat_resp.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,workerId,trial_num,image_a,image_b,age,gender (m/f),worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,assignmentId,a,tp_a,b,tp_b,c,tp_c,Cow_resp.keys,Cow_resp.rt,Garden_resp.keys,Garden_resp.rt
space,28.368535,space,17.87815,5,3.307055,5,2.61671,4,4.98513,0,0,0,3,1,AM4PAC2YQPREB,4,wolfe_011_L_parfum-a_w_outline.jpg,wolfe_011_L_parfum-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,4,5.401615,0,1,1,10,1,AM4PAC2YQPREB,11,wolfe_018_L_plant-a_w_outline.jpg,wolfe_018_L_plant-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,3,4.551325,0,2,2,19,1,AM4PAC2YQPREB,21,wolfe_029_L_glass-a_w_outline.jpg,wolfe_029_L_glass-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,3,4.1016,0,3,3,9,1,AM4PAC2YQPREB,10,wolfe_097_L_light-a_w_outline.jpg,wolfe_097_L_light-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,2,5.118305,0,4,4,2,1,AM4PAC2YQPREB,3,wolfe_061_L_glass-a_w_outline.jpg,wolfe_061_L_glass-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,2,4.23503,0,5,5,22,1,AM4PAC2YQPREB,24,wolfe_051_L_owl-a_w_outline.jpg,wolfe_051_L_owl-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,2,4.968525,0,6,6,11,1,AM4PAC2YQPREB,12,wolfe_105_L_hat-a_w_outline.jpg,wolfe_105_L_hat-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,3,4.852855,0,7,7,18,1,AM4PAC2YQPREB,19,wolfe_021_L_keyboard-a_w_outline.jpg,wolfe_021_L_keyboard-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,3,5.268095,0,8,8,27,1,AM4PAC2YQPREB,28,wolfe_072_L_handle-a_w_outline.jpg,wolfe_072_L_handle-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
,,,,,,,,3,3.93488,0,9,9,24,1,AM4PAC2YQPREB,20,wolfe_023_L_remote-a_w_outline.jpg,wolfe_023_L_remote-b_w_outline.jpg,25,m,AM4PAC2YQPREB,2020-11-30_21h53.41.707,MetaAwareness,2020.1.2,Win32,60,3D4BBDG7ZIZGDYJMZPFOCKT117W3CD,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,HDU73,HDU73,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,37UQDCYH6YYXZAO3IKIL3COTDQ2V7V,260823,260823,,,,
