consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.955245,space,10.167355,4,15.555805,0,0,0,647,1,the living room has cream colored carpeting and off white walls,a chandelier hangs off the wall in the cozy living room with plush furniture and cream colored carpeting,wolfe2,070_R_lamp,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,5.80914,0,1,1,166,1,a back porch with chairs and leafy plants growing close to the ground,"a back porch with chairs, leafy plants growing close to the ground, and a tall stalk with thin spiny leaves",wolfe2,018_L_plant,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,15.20737,0,2,2,312,1,a nicely decorated bedroom with a white nightstand missing the third row handle,a nicely decorated bedroom with a white nightstand that has all of the handles.,wolfe2,034_L_handle,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,10.787805,0,3,3,165,1,porch or covered outside area with some small plants,porch with plants and one noticable taller tree than the rest,wolfe2,018_L_plant,1,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,10.729815,0,4,4,838,1,fancy bedroom with a small lamp in the corner.,fancy bedrom with nothing in the corner.,wolfe2,090_L_lamp,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,5.44913,0,5,5,858,1,a modern looking bedroom with wood in the fireplace,a modern looking bedroom without any wood in the fireplace,wolfe2,092_R_candles,1,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,6.239505,0,6,6,28,1,a view of the city from a hotel window,a view of the city from a hotel window where a cell tower can be seen,wolfe2,004_L_electricalgrid,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,6.65188,0,7,7,172,1,a deck of a house with only short plants in the front garden.,a deck of a house that has one tall plant amongst the short plants in the garden.,wolfe2,018_R_plant,3,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,7.475195,0,8,8,813,1,hotel bathroom with a towel hanger by the sink,hotel bathroom with no place to hang a hand towel,wolfe2,087_L_towelhandle,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,6.39796,0,9,9,60,1,"abathroom with 2 sinks, a chalk board and towle",a bathroom with 2 sinks a chalk board and towle with bowle on counter,wolfe2,007_L_soap,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,5.96357,0,10,10,158,1,a red and white living room with large windows and an unlit fireplace,a red and white livving room with large windows and a lit fireplace,wolfe2,017_L_wood,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,8.504295,0,11,11,1032,1,"living room with several glass windows, ceiling light with fan and a flower pot beside the cushioned chair.","living room with several glass windows, ceiling light with fan and many places to sit.",wolfe2,112_R_basket,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,4,6.548645,0,12,12,1120,1,a wide open conference room with tan chairs at tables,a wide open conference room with green carpet,wolfe2,122_R_chair,4,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,6,5.948295,0,13,13,409,1,a modern bathroom with a large shower and bath with lower lights in the shower,a modern bathroom with a large shower and bath with lower lights in the shower and bath,wolfe2,044_R_light,1,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,1,9.023105,0,14,14,141,1,in a living room there is a smooth white ceiling,in a living room there is a double recessed light fixture on the ceiling,wolfe2,015_L_ceilinglight,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,4.520925,0,15,15,936,1,a well lit white living room with a white box,a well lit white living room,wolfe2,102_L_shoppingbag,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
,,,,5,22.303265,0,16,16,109,1,in a bedroom there is a white bathtub with smooth sides under a window,in a bedroom there is a white bathtub with an object on the side of otherwise smooth sides under a window,wolfe2,012_L_tubaccesory,2,45,A17LZ3WK12T7CJ,2021-01-24_19h44.36.343,MetaAwareness,2020.1.2,Win32,60,37PGLWGSJU9DMZDTC539498YRMIIKZ,A17LZ3WK12T7CJ,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,DABP3,DABP3,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,3PB5A5BD0W9EHDY8TPJZ3BLKW20G73,271073,271073,,,,,,,,,,
