consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,22.015065,space,9.62782,1,13.580635,0,0,0,119,1,a room with a pink desk and a wall desk with a monitor and a black mat.,an open space room with matching chairs and pink desk with a yellow wall commputer and black keyboard.,wolfe2,021_R_keyboard,5,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,8.947715,0,1,1,185,1,it is a picture of a living room with shelves along the wall.,"it is a picture of a living room with shelves along the wall, including a large vase on the top shelf.",wolfe2,033_R_vase,4,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,14.430195,0,2,2,635,1,a room with shoes on the floor leading to the outdoors,a room without shoes on the floor,wolfe2,118_L_shoes,3,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,3,7.812885,0,3,3,519,1,a pink and white bedroom with a white radio on the pink desk,a pink a white bedroom with nothing on the pink desk,wolfe2,096_L_painting,5,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,15.00455,0,4,4,365,1,a generic living room with a built-in bookshelf that has candles on the top shelf next to a black box,a generic living room with a built in bookshelf that has a black box on the top shelf,wolfe2,069_R_things,1,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,8.83547,0,5,5,61,1,in a bedroom there is a white bathtub with smooth sides under a window,in a bedroom there is a white bathtub with an object on the side of otherwise smooth sides under a window,wolfe2,012_L_tubaccesory,2,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,3,13.050485,0,6,6,494,1,a fancy looking bathroom. there is a red chair near a mirror. there is a white rectangluar device reclected in the mirror above the red chair.,a fancy looking bathroom. there is a red chair near a mirror. there is nothing relected in the mirror above the red chair.,wolfe2,091_L_airfreshener,1,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,11.66324,0,7,7,288,1,a modern white sofa with no blankets or throw cushions,"a modern white sofa with no throw cushions, just a blanket and a magazine",wolfe2,056_R_comforter,1,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,2,6.90849,0,8,8,263,1,a mantle with a blank spot,a mantile with a decorative bird,wolfe2,051_L_owl,2,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
,,,,5,8.927665,0,9,9,407,1,abathroom with tub and showerand a plant on the counter,a bathroom with tub and shower and a plant on the counter with a towle hook on the wall,wolfe2,076_L_hook,3,34,A1CMWA0L8FTSXA,2021-01-25_13h45.59.396,MetaAwareness,2020.1.2,Win32,60,3UY4PIS8QSO3UZ2Y1BAJ428G4GG1N1,A1CMWA0L8FTSXA,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,10ET5,10ET5,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,3TEM0PF1Q60XNIOX60XIIB80BZ5D0N,271255,271255,,,,,,,,,,
