consent_response.keys,consent_response.rt,key_resp_2.keys,key_resp_2.rt,user_resp.keys,user_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,image_1_text,image_2_text,database,image,number,age,worker_ID,date,expName,psychopyVersion,OS,frameRate,hitId,workerId,assignmentId,a,tp_a,b,tp_b,c,tp_c,catch_same_resp.keys,catch_same_resp.rt,image_1_text_catch_same,image_2_text_catch_same,image_catch_same,catch_different_resp.keys,catch_different_resp.rt,image_1_text_catch_different,image_2_text_catch_different,image_catch_different
space,7.122,space,5.33,4,7.056,0,0,0,197,1,an office with a black stand shelf unit beside a credenza,an office with a black stand shelf unit beside a credenza and a soccer ball behind the shelf,wolfe2,081_L_football,5,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,4,3.821,0,1,1,215,1,there is a large cake sitting on the kitchen counter.,there is nothing sitting on the kitchen counter.,wolfe2,086_R_book,3,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,5,2.102,0,2,2,263,1,a bedroom woth glass doors,a bedroom with glass doors and a book is missing on the bed,wolfe2,105_L_hat,4,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,2,1.685,0,3,3,128,1,"a bed room, several thinks in cupboard , no things in the box","a bed room,several things in cupboared, a blue colr pillow inside the box",wolfe2,055_L_carpet,1,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,5,1.464,0,4,4,144,1,a dining room with wooden furniture and three wine glasses,a dining room with wooden furniture and three wine glasses,wolfe2,061_L_glass,7,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,4,1.757,0,5,5,55,1,a luxurious and clean bathroom,a luxurious and clean bathroom with paper towels in the shower,wolfe2,027_R_soapdish,4,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,2,1.486,0,6,6,119,1,an old fashioned living room with a lot of decor,"an old fashioned living room with a lot of decor, including a bird on the mantle",wolfe2,051_R_owl,6,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,5,2.644,0,7,7,109,1,it is a picture of a hotel room with nothing on the bed side table.,it is a picture of a hotel room with a number of electronics on the bed side table.,wolfe2,045_R_musicdock,4,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,2,1.228,0,8,8,223,1,a wall decor in a salon,nothing on te wall in the salon,wolfe2,088_R_clock,3,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
,,,,5,1.427,0,9,9,28,1,a restaurant with very high ceilings and three light fixtures on the upper part of the wall,a restaurant with very high ceilings and four light fixgures on the upper part of the wall,wolfe2,014_L_lamp,2,35,A194WFDN5KXOXW,2021-02-18_11h14.36.393,MetaAwareness,2020.1.2,Win32,60,3ZCC2DXSD87UW4HFK2Q3Z5HXGNVYYT,A194WFDN5KXOXW,39DD6S19JQEZH98N6PLUUST7WSZZER,96D90,96D90,39DD6S19JQEZH98N6PLUUST7WSZZER,39DD6S19JQEZH98N6PLUUST7WSZZER,276350,276350,,,,,,,,,,
